event_id,year,start_date,end_date,duration_days,cluster_id,commune_code,commune,max_cm
2015-01-12---2015-01-26_cluster_15,2015,2015-01-12,2015-01-26,14,15,55064,Bouquemont,261.0
2015-01-12---2015-01-26_cluster_15,2015,2015-01-12,2015-01-26,14,15,55444,Rouvrois-sur-Meuse,15.0
2015-01-12---2015-02-23_cluster_16,2015,2015-01-12,2015-02-23,35,16,10299,Pouan-les-Vallées,14.0
2015-01-12---2015-02-23_cluster_16,2015,2015-01-12,2015-02-23,35,16,10315,Rances,18.0
2015-01-12---2015-02-23_cluster_16,2015,2015-01-12,2015-02-23,35,16,51502,Saint-Martin-aux-Champs,10.0
2015-01-12---2015-02-23_cluster_16,2015,2015-01-12,2015-02-23,35,16,51533,Servon-Melzicourt,39.0
2015-01-12---2015-02-23_cluster_16,2015,2015-01-12,2015-02-23,35,16,51610,Verrières,28.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,17085,Champdolent,182.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,17155,Étaules,91.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,17185,Le Gua,86.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,17421,Saujon,128.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,37195,La Riche,103.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,37258,Thizay,23.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,37269,Verneuil-sur-Indre,32.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,49358,Turquant,10.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,55080,Brixey-aux-Chanoines,10.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,55328,Maxey-sur-Vaise,214.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,55485,Sepvigny,251.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,55533,Vaucouleurs,10.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,70267,Gevigney-et-Mercey,194.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,70454,Rosières-sur-Mance,13.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,70491,Seveux-Motey,399.0
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,70539,Vellexon-Queutrey-et-Vaudey,283.0
2015-02-02---2015-02-09_cluster_23,2015,2015-02-02,2015-02-09,7,23,33042,Belin-Béliet,10.0
2015-02-02---2015-02-09_cluster_23,2015,2015-02-02,2015-02-09,7,23,40063,Candresse,52.0
2015-02-02---2015-02-09_cluster_23,2015,2015-02-02,2015-02-09,7,23,40088,Dax,317.0
2015-02-02---2015-02-09_cluster_23,2015,2015-02-02,2015-02-09,7,23,40208,Onard,87.0
2015-02-02---2015-02-09_cluster_23,2015,2015-02-02,2015-02-09,7,23,40211,Orist,439.0
2015-02-02---2015-02-09_cluster_23,2015,2015-02-02,2015-02-09,7,23,40222,Pey,484.0
2015-02-02---2015-02-09_cluster_23,2015,2015-02-02,2015-02-09,7,23,40263,Saint-Jean-de-Lier,261.0
2015-02-02---2015-02-09_cluster_23,2015,2015-02-02,2015-02-09,7,23,40314,Tercis-les-Bains,364.0
2015-02-02---2015-02-09_cluster_23,2015,2015-02-02,2015-02-09,7,23,40334,Yzosse,354.0
2015-02-02---2015-02-09_cluster_23,2015,2015-02-02,2015-02-09,7,23,64123,Bidache,97.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40063,Candresse,51.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40088,Dax,321.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40208,Onard,117.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40211,Orist,457.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40222,Pey,558.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40235,Poyanne,403.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40256,Saint-Étienne-d'Orthe,34.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40263,Saint-Jean-de-Lier,462.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40301,Siest,404.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40314,Tercis-les-Bains,386.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40324,Vicq-d'Auribat,377.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,40334,Yzosse,406.0
2015-02-09---2015-03-09_cluster_30,2015,2015-02-09,2015-03-09,21,30,64123,Bidache,236.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,02014,Amigny-Rouy,183.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,02262,Deuillet,17.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,02716,Servais,18.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,02719,Sinceny,90.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,08461,Vandy,22.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,50016,Appeville,14.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,50023,Auvers,35.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,50052,Beuzeville-la-Bastille,21.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,50099,Carentan-les-Marais,25.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,50269,Liesville-sur-Douve,21.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,50451,Saint-Brice,32.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,50468,Saint-Fromond,73.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,50606,Tribehou,26.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,50617,Varenguebec,17.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,51171,Cormicy,266.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,51533,Servon-Melzicourt,25.0
2015-02-16---2015-03-09_cluster_35,2015,2015-02-16,2015-03-09,14,35,60105,Brétigny,10.0
