event_id,year,start_date,end_date,duration_days,cluster_id,n_tiles,n_tiles_processed,event_path,n_communes,communes,n_candidates_tested,n_overlap_skipped
2014-12-29---2015-01-12_cluster_1,2015,2014-12-29,2015-01-12,14,1,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,0,,0,0
2014-12-29---2015-01-12_cluster_2,2015,2014-12-29,2015-01-12,14,2,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,0,,234,597
2014-12-29---2015-02-09_cluster_333,2015,2014-12-29,2015-02-09,35,333,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,0,,0,0
2015-01-05---2015-01-12_cluster_9,2015,2015-01-05,2015-01-12,7,9,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_009_A0_000036_A_000038_lat_03701_lon_-0629_size_0009.tif,0,,0,0
2015-01-05---2015-01-12_cluster_10,2015,2015-01-05,2015-01-12,7,10,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_010_A0_000001_A_000002_lat_04768_lon_01002_size_0005.tif,0,,2497,1614
2015-01-05---2015-01-12_cluster_11,2015,2015-01-05,2015-01-12,7,11,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_011_A0_000002_A_000002_lat_03730_lon_03186_size_0012.tif,0,,0,0
2015-01-05---2015-01-12_cluster_12,2015,2015-01-05,2015-01-12,7,12,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_012_A0_000016_A_000018_lat_03732_lon_03725_size_0037.tif,0,,0,0
2015-01-12---2015-01-26_cluster_15,2015,2015-01-12,2015-01-26,14,15,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-12---2015-01-26_duration_14_days_cluster_015_A0_000006_A_000009_lat_04879_lon_00478_size_0056.tif,2,Bouquemont; Rouvrois-sur-Meuse,7498,2028
2015-01-12---2015-02-23_cluster_16,2015,2015-01-12,2015-02-23,35,16,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,5,Pouan-les-Vallées; Rances; Saint-Martin-aux-Champs; Servon-Melzicourt; Verrières,8878,5571
2015-01-19---2015-02-09_cluster_20,2015,2015-01-19,2015-02-09,21,20,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-19---2015-02-09_duration_21_days_cluster_020_A0_000048_A_000064_lat_04674_lon_00155_size_0230.tif,16,Brixey-aux-Chanoines; Champdolent; Gevigney-et-Mercey; La Riche; Le Gua; Maxey-sur-Vaise; Rosières-sur-Mance; Saujon; Sepvigny; Seveux-Motey; Thizay; Turquant; Vaucouleurs; Vellexon-Queutrey-et-Vaudey; Verneuil-sur-Indre; Étaules,9893,6310
