event_id,raster_file,raster_path,source_year_folder,start_date,end_date,duration_days,flood_id,gfm_extent_km2,enhanced_extent_km2,centroid_lat_cents,centroid_lon_cents,spatial_spread_units,nuts0_code,nuts0_name,nuts1_code,nuts1_name,max_depth_cm,flooded_pixels,flooded_area_m2,n_lau
WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120,WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120.tif,2015,2014-12-29,2015-01-05,7,4,5,6,5570,2013,120,LT,Lietuva,LT0,Lietuva,43.0,2577,1030800.0,5
WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120,WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120.tif,2015,2014-12-29,2015-01-05,7,4,5,6,5570,2013,120,SE,Sverige,SE2,Södra Sverige,552.0,4050,1620000.0,1
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES3,Comunidad de Madrid,393.0,303,121200.0,16
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES4,Centro (ES),731.0,73061,29224400.0,111
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES6,Sur,507.0,23,9200.0,6
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,PT,Portugal,PT1,Continente,1308.0,9707,3882800.0,59
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,BE,Belgique/België,BE2,Vlaams Gewest,224.0,32,12800.0,2
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,DE,Deutschland,DE9,Niedersachsen,41.0,888,355200.0,3
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,DE,Deutschland,DEA,Nordrhein-Westfalen,729.0,31,12400.0,1
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL1,Noord-Nederland,79.0,1207,482800.0,13
