event_id,raster_file,raster_path,source_year_folder,start_date,end_date,duration_days,flood_id,gfm_extent_km2,enhanced_extent_km2,centroid_lat_cents,centroid_lon_cents,spatial_spread_units,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,max_depth_cm,flooded_pixels,flooded_area_m2,n_lau
WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120,WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120.tif,2015,2014-12-29,2015-01-05,7,4,5,6,5570,2013,120,LT,Lietuva,LT0,Lietuva,LT02,Vidurio ir vakarų Lietuvos regionas ,LT023,Klaipėdos apskritis,43.0,2577,1030800.0,5
WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120,WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-05_duration_7_days_cluster_004_A0_000005_A_000006_lat_05570_lon_02013_size_0120.tif,2015,2014-12-29,2015-01-05,7,4,5,6,5570,2013,120,SE,Sverige,SE2,Södra Sverige,SE21,Småland med öarna,SE214,Gotlands län,552.0,4050,1620000.0,1
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES3,Comunidad de Madrid,ES30,Comunidad de Madrid,ES300,Madrid,393.0,303,121200.0,16
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES4,Centro (ES),ES41,Castilla y León,ES411,Ávila,44.0,3,1200.0,1
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES4,Centro (ES),ES42,Castilla-La Mancha,ES421,Albacete,154.0,585,234000.0,2
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES4,Centro (ES),ES42,Castilla-La Mancha,ES422,Ciudad Real,495.0,50868,20347200.0,26
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES4,Centro (ES),ES42,Castilla-La Mancha,ES423,Cuenca,450.0,669,267600.0,7
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES4,Centro (ES),ES42,Castilla-La Mancha,ES424,Guadalajara,388.0,215,86000.0,4
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES4,Centro (ES),ES42,Castilla-La Mancha,ES425,Toledo,731.0,20527,8210800.0,64
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,2015,2014-12-29,2015-01-12,14,1,26,33,3933,-393,56,ES,España,ES4,Centro (ES),ES43,Extremadura,ES431,Badajoz,381.0,194,77600.0,7
