event_id,year,start_date,end_date,duration_days,cluster_id,commune_code,commune,max_cm
2015-01-12---2015-01-26_cluster_None,2015,1/12/2015,1/26/2015,14,,55064,Bouquemont,261
2015-01-12---2015-01-26_cluster_None,2015,1/12/2015,1/26/2015,14,,55444,Rouvrois-sur-Meuse,15
2015-01-12---2015-02-23_cluster_None,2015,1/12/2015,2/23/2015,35,,10299,Pouan-les-Vallées,14
2015-01-12---2015-02-23_cluster_None,2015,1/12/2015,2/23/2015,35,,10315,Rances,18
2015-01-12---2015-02-23_cluster_None,2015,1/12/2015,2/23/2015,35,,51502,Saint-Martin-aux-Champs,10
2015-01-12---2015-02-23_cluster_None,2015,1/12/2015,2/23/2015,35,,51533,Servon-Melzicourt,39
2015-01-12---2015-02-23_cluster_None,2015,1/12/2015,2/23/2015,35,,51610,Verrières,28
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,55080,Brixey-aux-Chanoines,10
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,17085,Champdolent,182
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,70267,Gevigney-et-Mercey,194
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,37195,La Riche,103
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,17185,Le Gua,86
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,55328,Maxey-sur-Vaise,214
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,70454,Rosières-sur-Mance,13
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,17421,Saujon,128
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,55485,Sepvigny,251
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,70491,Seveux-Motey,399
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,37258,Thizay,23
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,49358,Turquant,10
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,55533,Vaucouleurs,10
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,70539,Vellexon-Queutrey-et-Vaudey,283
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,37269,Verneuil-sur-Indre,32
2015-01-19---2015-02-09_cluster_None,2015,1/19/2015,2/9/2015,21,,17155,Étaules,91
2015-02-02---2015-02-09_cluster_None,2015,2/2/2015,2/9/2015,7,,33042,Belin-Béliet,10
2015-02-02---2015-02-09_cluster_None,2015,2/2/2015,2/9/2015,7,,64123,Bidache,97
2015-02-02---2015-02-09_cluster_None,2015,2/2/2015,2/9/2015,7,,40063,Candresse,52
2015-02-02---2015-02-09_cluster_None,2015,2/2/2015,2/9/2015,7,,40088,Dax,317
2015-02-02---2015-02-09_cluster_None,2015,2/2/2015,2/9/2015,7,,40208,Onard,87
2015-02-02---2015-02-09_cluster_None,2015,2/2/2015,2/9/2015,7,,40211,Orist,439
2015-02-02---2015-02-09_cluster_None,2015,2/2/2015,2/9/2015,7,,40222,Pey,484
2015-02-02---2015-02-09_cluster_None,2015,2/2/2015,2/9/2015,7,,40263,Saint-Jean-de-Lier,261
2015-02-02---2015-02-09_cluster_None,2015,2/2/2015,2/9/2015,7,,40314,Tercis-les-Bains,364
2015-02-02---2015-02-09_cluster_None,2015,2/2/2015,2/9/2015,7,,40334,Yzosse,354
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,64123,Bidache,236
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40063,Candresse,51
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40088,Dax,321
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40208,Onard,117
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40211,Orist,457
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40222,Pey,558
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40235,Poyanne,403
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40263,Saint-Jean-de-Lier,462
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40256,Saint-Étienne-d'Orthe,34
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40301,Siest,404
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40314,Tercis-les-Bains,386
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40324,Vicq-d'Auribat,377
2015-02-09---2015-03-09_cluster_None,2015,2/9/2015,3/9/2015,21,,40334,Yzosse,406
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,2014,Amigny-Rouy,183
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,50016,Appeville,14
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,50023,Auvers,35
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,50052,Beuzeville-la-Bastille,21
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,60105,Brétigny,10
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,50099,Carentan-les-Marais,25
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,51171,Cormicy,266
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,2262,Deuillet,17
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,50269,Liesville-sur-Douve,21
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,50451,Saint-Brice,32
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,50468,Saint-Fromond,73
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,2716,Servais,18
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,51533,Servon-Melzicourt,25
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,2719,Sinceny,90
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,50606,Tribehou,26
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,8461,Vandy,22
2015-02-16---2015-03-09_cluster_None,2015,2/16/2015,3/9/2015,14,,50617,Varenguebec,17
2015-03-09---2015-03-23_cluster_None,2015,3/9/2015,3/23/2015,14,,40314,Tercis-les-Bains,321
2015-04-27---2015-05-11_cluster_None,2015,4/27/2015,5/11/2015,14,,50151,Créances,331
2015-04-27---2015-05-11_cluster_None,2015,4/27/2015,5/11/2015,14,,71219,Gigny-sur-Saône,108
2015-04-27---2015-05-11_cluster_None,2015,4/27/2015,5/11/2015,14,,21301,Glanon,19
2015-04-27---2015-05-11_cluster_None,2015,4/27/2015,5/11/2015,14,,71283,Marnay,58
2015-04-27---2015-05-11_cluster_None,2015,4/27/2015,5/11/2015,14,,71315,Mont-lès-Seurre,152
2015-04-27---2015-05-11_cluster_None,2015,4/27/2015,5/11/2015,14,,71504,Saunières,15
2015-04-27---2015-05-11_cluster_None,2015,4/27/2015,5/11/2015,14,,27640,Tilleul-Dame-Agnès,47
2015-06-01---2015-06-08_cluster_None,2015,6/1/2015,6/8/2015,7,,41121,La Madeleine-Villefrouin,10
2015-06-01---2015-06-08_cluster_None,2015,6/1/2015,6/8/2015,7,,45344,Villorceau,10
