event_id,year,start_date,end_date,duration_days,cluster_id,n_tiles,event_path,n_communes,communes,n_candidates_tested,n_overlap_skipped
2014-12-29---2015-01-12_cluster_None,2015,2014-12-29,2015-01-12,14,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_001_A0_000026_A_000033_lat_03933_lon_-0393_size_0056.tif,0,,234,597
2014-12-29---2015-02-09_cluster_None,2015,2014-12-29,2015-02-09,35,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,0,,0,0
2015-01-05---2015-01-12_cluster_None,2015,2015-01-05,2015-01-12,7,,4,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_009_A0_000036_A_000038_lat_03701_lon_-0629_size_0009.tif,0,,2497,1614
2015-01-12---2015-01-26_cluster_None,2015,2015-01-12,2015-01-26,14,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-12---2015-01-26_duration_14_days_cluster_015_A0_000006_A_000009_lat_04879_lon_00478_size_0056.tif,2,Bouquemont; Rouvrois-sur-Meuse,7498,2028
2015-01-12---2015-02-23_cluster_None,2015,2015-01-12,2015-02-23,35,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370.tif,5,Pouan-les-Vallées; Rances; Saint-Martin-aux-Champs; Servon-Melzicourt; Verrières,8878,5571
2015-01-19---2015-02-09_cluster_None,2015,2015-01-19,2015-02-09,21,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-01-19---2015-02-09_duration_21_days_cluster_020_A0_000048_A_000064_lat_04674_lon_00155_size_0230.tif,16,Brixey-aux-Chanoines; Champdolent; Gevigney-et-Mercey; La Riche; Le Gua; Maxey-sur-Vaise; Rosières-sur-Mance; Saujon; Sepvigny; Seveux-Motey; Thizay; Turquant; Vaucouleurs; Vellexon-Queutrey-et-Vaudey; Verneuil-sur-Indre; Étaules,9893,6310
2015-02-02---2015-02-09_cluster_None,2015,2015-02-02,2015-02-09,7,,7,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-02---2015-02-09_duration_7_days_cluster_022_A0_000005_A_000007_lat_04058_lon_-0863_size_0023.tif,10,Belin-Béliet; Bidache; Candresse; Dax; Onard; Orist; Pey; Saint-Jean-de-Lier; Tercis-les-Bains; Yzosse,815,813
2015-02-02---2015-04-06_cluster_None,2015,2015-02-02,2015-04-06,49,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-02---2015-04-06_duration_49_days_cluster_335_A0_000295_A_000376_lat_04622_lon_01862_size_0165.tif,0,,0,0
2015-02-09---2015-02-16_cluster_None,2015,2015-02-09,2015-02-16,7,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-09---2015-02-16_duration_7_days_cluster_031_A0_000014_A_000015_lat_04459_lon_01196_size_0015.tif,0,,0,0
2015-02-09---2015-03-09_cluster_None,2015,2015-02-09,2015-03-09,21,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-09---2015-03-09_duration_21_days_cluster_030_A0_000136_A_000201_lat_04219_lon_-0233_size_0175.tif,13,Bidache; Candresse; Dax; Onard; Orist; Pey; Poyanne; Saint-Jean-de-Lier; Saint-Étienne-d'Orthe; Siest; Tercis-les-Bains; Vicq-d'Auribat; Yzosse,5529,2041
2015-02-09---2015-03-23_cluster_None,2015,2015-02-09,2015-03-23,35,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-09---2015-03-23_duration_35_days_cluster_336_A0_000270_A_000356_lat_05892_lon_02442_size_0321.tif,0,,0,0
2015-02-16---2015-03-02_cluster_None,2015,2015-02-16,2015-03-02,14,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-16---2015-03-02_duration_14_days_cluster_037_A0_000009_A_000016_lat_03750_lon_01405_size_0064.tif,0,,0,0
2015-02-16---2015-03-09_cluster_None,2015,2015-02-16,2015-03-09,14,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-02-16---2015-03-09_duration_14_days_cluster_035_A0_000067_A_000086_lat_04928_lon_00023_size_0118.tif,17,Amigny-Rouy; Appeville; Auvers; Beuzeville-la-Bastille; Brétigny; Carentan-les-Marais; Cormicy; Deuillet; Liesville-sur-Douve; Saint-Brice; Saint-Fromond; Servais; Servon-Melzicourt; Sinceny; Tribehou; Vandy; Varenguebec,12024,6373
2015-03-02---2015-03-09_cluster_None,2015,2015-03-02,2015-03-09,7,,4,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-02---2015-03-09_duration_7_days_cluster_045_A0_000027_A_000028_lat_03707_lon_00982_size_0016.tif,0,,0,0
2015-03-09---2015-03-23_cluster_None,2015,2015-03-09,2015-03-23,14,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-09---2015-03-23_duration_14_days_cluster_049_A0_000013_A_000015_lat_04378_lon_-0112_size_0017.tif,1,Tercis-les-Bains,815,813
