lau_code,lau_code_local,lau_name,country_code,country_name,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,population_2024,area_km2
AL_AL111,AL111,Bulqizë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL011,Dibër,0.0,678.96568008
AL_AL112,AL112,Dibër,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL011,Dibër,0.0,938.72629909
AL_AL113,AL113,Klos,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL011,Dibër,0.0,357.72307083
AL_AL114,AL114,Mat,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL011,Dibër,0.0,493.81308121
AL_AL121,AL121,Durrës,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL012,Durrës,0.0,338.466834
AL_AL122,AL122,Krujë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL012,Durrës,0.0,339.20365759
AL_AL123,AL123,Shijak,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL012,Durrës,0.0,92.21624313
AL_AL131,AL131,Has,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL013,Kukës,0.0,399.79961116
AL_AL132,AL132,Kukës,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL013,Kukës,0.0,934.42760992
AL_AL133,AL133,Tropojë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL013,Kukës,0.0,1057.78154771
AL_AL141,AL141,Kurbin,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL014,Lezhë,0.0,269.17877902
AL_AL142,AL142,Lezhë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL014,Lezhë,0.0,509.34284866
AL_AL143,AL143,Mirditë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL014,Lezhë,0.0,870.249553
AL_AL151,AL151,Fushë Arrës,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL015,Shkodër,0.0,540.79777779
AL_AL152,AL152,Malësi e Madhe,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL015,Shkodër,0.0,951.44162813
AL_AL153,AL153,Pukë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL015,Shkodër,0.0,505.83441979
AL_AL154,AL154,Shkodër,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL015,Shkodër,0.0,872.99551661
AL_AL155,AL155,Vau i Dejës,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL01,Veri,AL015,Shkodër,0.0,499.31148464
AL_AL211,AL211,Belsh,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL021,Elbasan,0.0,196.56019511
AL_AL212,AL212,Cërrik,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL021,Elbasan,0.0,189.76448508
AL_AL213,AL213,Elbasan,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL021,Elbasan,0.0,872.6055348
AL_AL214,AL214,Gramsh,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL021,Elbasan,0.0,739.73026029
AL_AL215,AL215,Librazhd,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL021,Elbasan,0.0,793.9401032
AL_AL216,AL216,Peqin,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL021,Elbasan,0.0,197.88599699
AL_AL217,AL217,Prrenjas,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL021,Elbasan,0.0,323.18965753
AL_AL221,AL221,Kamëz,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL022,Tiranë,0.0,37.18983642
AL_AL222,AL222,Kavajë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL022,Tiranë,0.0,198.8912625
AL_AL223,AL223,Rrogozhinë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL022,Tiranë,0.0,223.62647091
AL_AL224,AL224,Tiranë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL022,Tiranë,0.0,1110.69657782
AL_AL225,AL225,Vorë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL02,Qender,AL022,Tiranë,0.0,82.76832986
AL_AL311,AL311,Berat,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL031,Berat,0.0,380.21222023
AL_AL312,AL312,Kuçovë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL031,Berat,0.0,160.31345149
AL_AL313,AL313,Poliçan,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL031,Berat,0.0,272.20607039
AL_AL314,AL314,Skrapar,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL031,Berat,0.0,831.97541833
AL_AL315,AL315,Dimal,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL031,Berat,0.0,156.64055372
AL_AL321,AL321,Divjakë,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL032,Fier,0.0,309.6932498
AL_AL322,AL322,Fier,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL032,Fier,0.0,620.16622959
AL_AL323,AL323,Lushnje,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL032,Fier,0.0,372.90562232
AL_AL324,AL324,Mallakastër,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL032,Fier,0.0,329.38802496
AL_AL325,AL325,Roskovec,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL032,Fier,0.0,118.07210467
AL_AL326,AL326,Patos,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL032,Fier,0.0,82.61203059
AL_AL331,AL331,Dropull,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL033,Gjirokastër,0.0,450.16856934
AL_AL332,AL332,Gjirokastër,AL,Shqipëria,AL,Shqipëria,AL0,Shqipëria,AL03,Jug,AL033,Gjirokastër,0.0,469.53612656
