cod_commune,commune_name,n_flood_events,first_event,last_event
06088,Nice,32,1982-11-06,2024-11-15
13055,Marseille,27,1987-01-11,2025-10-02
06004,Antibes,26,1987-10-04,2024-12-24
83107,Roquebrune-sur-Argens,26,1987-10-10,2024-12-24
06027,Cagnes-sur-Mer,25,1982-11-06,2022-05-24
06090,Pégomas,23,1987-10-10,2024-12-04
11262,Narbonne,23,1987-10-10,2022-05-20
34129,Lattes,23,1987-10-28,2022-12-14
06029,Cannes,22,1982-11-06,2024-12-24
06069,Grasse,22,1987-10-10,2024-11-15
83061,Fréjus,22,1987-10-10,2024-12-24
06044,La Colle-sur-Loup,20,1982-11-06,2023-03-28
06123,Saint-Laurent-du-Var,20,1982-11-06,2022-05-24
08409,Sedan,20,1983-04-01,2025-04-30
33063,Bordeaux,20,1983-05-31,2024-08-22
64430,Orthez,20,1982-11-06,2023-08-23
83068,Grimaud,20,1988-01-14,2025-06-11
06079,Mandelieu-la-Napoule,19,1982-11-06,2024-11-15
06085,Mougins,19,1987-10-10,2024-12-24
11041,Bize-Minervois,19,1987-12-04,2022-12-15
13007,Auriol,19,1994-01-06,2025-10-02
2B033,Bastia,19,1989-09-01,2022-12-14
2B148,Lucciana,19,1989-09-01,2024-01-05
30189,Nîmes,19,1987-02-11,2024-06-12
34172,Montpellier,19,1987-10-28,2022-12-14
49331,Segré-en-Anjou Bleu,19,1982-12-08,2025-02-12
53130,Laval,19,1990-02-14,2025-05-27
57672,Thionville,19,1982-12-08,2024-08-22
62746,Saint-Étienne-au-Mont,19,1988-01-20,2024-10-22
95018,Argenteuil,19,1983-06-22,2024-12-04
06007,Auribeau-sur-Siagne,18,1987-10-10,2024-12-24
06155,Vallauris,18,1987-10-04,2024-12-24
06161,Villeneuve-Loubet,18,1982-11-06,2025-04-30
13004,Arles,18,1988-10-14,2025-10-02
14431,Mézidon Vallée d'Auge,18,1983-07-06,2025-04-30
2B346,Vescovato,18,1989-09-01,2024-01-05
30028,Bagnols-sur-Cèze,18,1990-10-12,2025-10-28
31555,Toulouse,18,1983-08-16,2023-10-20
33281,Mérignac,18,1983-07-04,2024-08-22
49261,Gennes-Val-de-Loire,18,1982-12-08,2024-07-10
49301,Sèvremoine,18,1983-04-01,2022-09-30
62014,Aire-sur-la-Lys,18,1988-01-20,2024-10-22
62094,Beaumerie-Saint-Martin,18,1988-01-20,2024-01-25
69123,Lyon,18,1982-12-08,2024-02-02
83099,Puget-sur-Argens,18,1990-10-17,2024-12-24
84007,Avignon,18,1982-11-06,2025-10-02
06065,La Gaude,17,1983-08-24,2024-11-15
06149,La Trinité,17,1982-11-06,2024-07-02
06157,Vence,17,1983-08-24,2024-11-15
08480,Villers-Semeuse,17,1983-04-01,2024-04-09
11145,Fleury,17,1992-01-22,2022-05-20
11164,Ginestas,17,1989-08-05,2022-05-24
24026,Bassillac et Auberoche,17,1983-07-17,2025-05-27
49050,Brissac Loire Aubance,17,1982-12-08,2024-07-10
54528,Toul,17,1982-12-08,2024-10-22
57463,Metz,17,1982-12-08,2024-06-19
62604,Neufchâtel-Hardelot,17,1988-01-20,2024-10-22
62662,Polincove,17,1988-01-20,2024-01-05
62902,Wizernes,17,1983-06-22,2024-10-22
77125,Condé-Sainte-Libiaire,17,1982-12-08,2024-05-14
77142,Crécy-la-Chapelle,17,1982-12-08,2025-02-11
77219,Guérard,17,1982-12-08,2024-12-04
81065,Castres,17,1988-04-23,2022-05-24
82013,Beaumont-de-Lomagne,17,1993-07-05,2022-05-20
82033,Castelsarrasin,17,1988-07-23,2025-06-11
82121,Montauban,17,1988-04-22,2025-06-11
83069,Hyères,17,1982-09-29,2025-10-02
83118,Saint-Raphaël,17,1987-10-10,2024-12-24
02290,Essômes-sur-Marne,16,1983-04-01,2025-02-11
06025,Le Broc,16,1993-10-05,2025-07-21
07022,Baix,16,1982-09-20,2023-02-15
07346,Viviers,16,1983-05-17,2023-02-15
08105,Charleville-Mézières,16,1982-12-08,2022-12-14
11217,Marcorignan,16,1987-10-10,2022-05-20
11353,Saint-Marcel-sur-Aude,16,1987-12-04,2022-05-24
13080,Le Puy-Sainte-Réparade,16,1993-09-22,2025-10-02
2B037,Biguglia,16,1988-05-12,2022-05-24
2B207,Penta-di-Casinca,16,1989-09-01,2023-10-20
33039,Bègles,16,1983-07-16,2022-05-24
33234,Latresne,16,1982-12-08,2022-05-24
33550,Villenave-d'Ornon,16,1983-08-09,2024-06-04
34003,Agde,16,1987-10-02,2022-05-20
34032,Béziers,16,1987-10-02,2022-05-20
34150,Marseillan,16,1987-10-09,2022-05-20
34289,Saint-Thibéry,16,1987-10-09,2025-10-02
38087,Chasse-sur-Rhône,16,1982-11-26,2024-08-22
49092,Chemillé-en-Anjou,16,1982-12-08,2022-05-24
62044,Attin,16,1988-01-20,2024-01-25
62050,Auchy-lès-Hesdin,16,1992-05-28,2024-01-25
62516,Lillers,16,1983-06-22,2024-01-25
62765,Saint-Omer,16,1988-01-20,2024-11-15
62906,Zutkerque,16,1987-07-22,2024-01-25
64445,Pau,16,1982-11-06,2023-08-23
65032,Arrens-Marsous,16,1999-12-25,2022-05-24
66136,Perpignan,16,1989-11-17,2025-02-11
77320,Mouroux,16,1982-12-08,2025-02-11
77371,Pommeuse,16,1982-12-08,2024-12-04
77397,Saâcy-sur-Marne,16,1982-12-08,2024-12-04
91345,Longjumeau,16,1982-12-08,2024-12-24
91691,Yerres,16,1982-12-08,2022-05-24
97417,Saint-Philippe,16,1993-01-18,2025-04-30
06018,Biot,15,1987-10-04,2022-05-24
06030,Le Cannet,15,1987-10-10,2024-12-24
06048,Contes,15,1993-10-01,2022-05-24
06084,Mouans-Sartoux,15,1993-10-05,2024-11-15
06105,Roquefort-les-Pins,15,1982-11-06,2025-04-04
06108,La Roquette-sur-Siagne,15,1987-10-10,2024-12-24
06114,Saint-André-de-la-Roche,15,1982-11-06,2024-06-04
06128,Saint-Paul-de-Vence,15,1982-11-06,2024-10-22
06148,Tourrettes-sur-Loup,15,1982-11-06,2024-11-15
07319,Le Teil,15,1982-09-20,2022-05-20
08190,Givet,15,1983-06-22,2022-05-24
08328,Nouzonville,15,1983-04-01,2022-05-20
08497,Warcq,15,1982-12-08,2022-05-20
11069,Carcassonne,15,1992-01-22,2022-05-24
11233,Mirepeisset,15,1987-12-04,2022-05-24
11264,Névian,15,1987-10-10,2022-05-20
11267,Ornaisons,15,1987-10-10,2022-05-20
11421,Villedaigne,15,1992-01-22,2023-08-23
13005,Aubagne,15,1989-09-10,2025-10-02
13022,Cassis,15,1988-10-05,2025-10-28
13056,Martigues,15,1982-11-26,2025-10-02
26198,Montélimar,15,1982-09-20,2023-02-15
2B343,Venzolasca,15,1989-09-01,2022-05-24
30006,Aimargues,15,1987-02-11,2022-05-20
30202,Pont-Saint-Esprit,15,1988-10-11,2022-05-20
30341,Vauvert,15,1987-02-11,2022-05-20
33069,Le Bouscat,15,1983-05-31,2024-08-22
33075,Bruges,15,1983-08-09,2025-10-02
33118,Cénac,15,1982-12-08,2022-05-20
33227,Langon,15,1982-12-08,2025-07-21
33243,Libourne,15,1982-12-08,2022-05-20
34031,Bessan,15,1993-10-28,2025-10-02
34209,Portiragnes,15,1987-10-02,2022-05-20
38544,Vienne,15,1982-11-26,2022-05-20
40224,Peyrehorade,15,1983-08-26,2022-05-20
49007,Angers,15,1982-12-08,2023-11-07
62160,Boulogne-sur-Mer,15,1988-01-20,2024-01-05
