jrc_event_id,raster_file,jrc_start_date,jrc_end_date,insee_com,jrc_commune_name,nuts3_code,nuts3_name,max_depth_cm,flooded_pixels,flooded_area_m2,gaspar_event_uid,cod_nat_catnat,gaspar_commune_name,num_risque_jo,lib_risque_jo,gaspar_start_date,gaspar_end_date,start_diff_days,end_diff_days,abs_start_diff_days,abs_end_diff_days,total_abs_date_diff_days,exact_date_match,within_7d_start_end_window,window_expanded_interval_overlap,interval_overlap_days,date_window_days
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,37242,Savigny-en-Véron,FRB04,Indre-et-Loire,73.0,1252,500800.0,INTE1620877A__20160604__20160606,INTE1620877A,Savigny-en-Véron,ICB,Inondations et/ou Coulées de Boue,2016-06-04,2016-06-06,-5,7,5,7,12,False,True,True,3,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,37122,Joué-lès-Tours,FRB04,Indre-et-Loire,166.0,171,68400.0,INTE1630434A__20160604__20160606,INTE1630434A,Joué-lès-Tours,ICB,Inondations et/ou Coulées de Boue,2016-06-04,2016-06-06,-5,7,5,7,12,False,True,True,3,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,37261,Tours,FRB04,Indre-et-Loire,54.0,807,322800.0,INTE1630434A__20160604__20160606,INTE1630434A,Tours,ICB,Inondations et/ou Coulées de Boue,2016-06-04,2016-06-06,-5,7,5,7,12,False,True,True,3,7
WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_264_A0_000092_A_000121_lat_04596_lon_00440_size_0115,WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_264_A0_000092_A_000121_lat_04596_lon_00440_size_0115.tif,2016-11-21,2016-11-28,83093,Plan-d'Aups-Sainte-Baume,FRL05,Var,86.0,481,192400.0,INTE1705706A__20161121__20161122,INTE1705706A,Plan-d'Aups-Sainte-Baume,ICB,Inondations et/ou Coulées de Boue,2016-11-21,2016-11-22,0,6,0,6,6,False,True,True,2,7
WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_264_A0_000092_A_000121_lat_04596_lon_00440_size_0115,WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_264_A0_000092_A_000121_lat_04596_lon_00440_size_0115.tif,2016-11-21,2016-11-28,83088,Néoules,FRL05,Var,24.0,86,34400.0,INTE1711727A__20161121__20161123,INTE1711727A,Néoules,ICB,Inondations et/ou Coulées de Boue,2016-11-21,2016-11-23,0,5,0,5,5,False,True,True,3,7
WD_MERGE_2018-01-01---2018-01-29_duration_28_days_cluster_351_A0_002080_A_002749_lat_04958_lon_00796_size_0325,WD_MERGE_2018-01-01---2018-01-29_duration_28_days_cluster_351_A0_002080_A_002749_lat_04958_lon_00796_size_0325.tif,2018-01-01,2018-01-29,55009,Ancemont,FRF32,Meuse ,345.0,3136,1254400.0,INTE1917050A__20180105__20180205,INTE1917050A,Ancemont,IRN,Inondations Remontée Nappe,2018-01-05,2018-02-05,-4,-7,4,7,11,False,True,True,25,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10006,Arcis-sur-Aube,FRF22,Aube,558.0,1878,751200.0,INTE1804348A__20180115__20180205,INTE1804348A,Arcis-sur-Aube,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10033,Bar-sur-Aube,FRF22,Aube,463.0,783,313200.0,INTE1804348A__20180115__20180205,INTE1804348A,Bar-sur-Aube,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10034,Bar-sur-Seine,FRF22,Aube,143.0,161,64400.0,INTE1804348A__20180115__20180205,INTE1804348A,Bar-sur-Seine,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10050,Bossancourt,FRF22,Aube,238.0,352,140800.0,INTE1804348A__20180115__20180205,INTE1804348A,Bossancourt,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10055,Bourguignons,FRF22,Aube,24.0,76,30400.0,INTE1804348A__20180115__20180205,INTE1804348A,Bourguignons,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10060,Bréviandes,FRF22,Aube,284.0,1183,473200.0,INTE1804348A__20180115__20180205,INTE1804348A,Bréviandes,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10081,La Chapelle-Saint-Luc,FRF22,Aube,93.0,164,65600.0,INTE1804348A__20180115__20180205,INTE1804348A,La Chapelle-Saint-Luc,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10089,Châtres,FRF22,Aube,402.0,592,236800.0,INTE1804348A__20180115__20180205,INTE1804348A,Châtres,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10095,Le Chêne,FRF22,Aube,360.0,1847,738800.0,INTE1804348A__20180115__20180205,INTE1804348A,Le Chêne,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10114,Crancey,FRF22,Aube,840.0,3446,1378400.0,INTE1804348A__20180115__20180205,INTE1804348A,Crancey,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10176,Jaucourt,FRF22,Aube,150.0,396,158400.0,INTE1804348A__20180115__20180205,INTE1804348A,Jaucourt,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10178,Jessains,FRF22,Aube,642.0,192,76800.0,INTE1804348A__20180115__20180205,INTE1804348A,Jessains,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10193,Lesmont,FRF22,Aube,321.0,1723,689200.0,INTE1804348A__20180115__20180205,INTE1804348A,Lesmont,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10214,Magnicourt,FRF22,Aube,309.0,922,368800.0,INTE1804348A__20180115__20180205,INTE1804348A,Magnicourt,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10220,Maizières-la-Grande-Paroisse,FRF22,Aube,716.0,2509,1003600.0,INTE1804348A__20180115__20180205,INTE1804348A,Maizières-la-Grande-Paroisse,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10225,Marnay-sur-Seine,FRF22,Aube,981.0,3112,1244800.0,INTE1804348A__20180115__20180205,INTE1804348A,Marnay-sur-Seine,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10231,Le Mériot,FRF22,Aube,670.0,1137,454800.0,INTE1804348A__20180115__20180205,INTE1804348A,Le Mériot,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10233,Méry-sur-Seine,FRF22,Aube,2659.0,1225,490000.0,INTE1804348A__20180115__20180205,INTE1804348A,Méry-sur-Seine,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10268,Nogent-sur-Seine,FRF22,Aube,702.0,2712,1084800.0,INTE1804348A__20180115__20180205,INTE1804348A,Nogent-sur-Seine,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10284,Périgny-la-Rose,FRF22,Aube,364.0,839,335600.0,INTE1804348A__20180115__20180205,INTE1804348A,Périgny-la-Rose,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10298,Pont-sur-Seine,FRF22,Aube,676.0,7263,2905200.0,INTE1804348A__20180115__20180205,INTE1804348A,Pont-sur-Seine,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10306,Proverville,FRF22,Aube,412.0,500,200000.0,INTE1804348A__20180115__20180205,INTE1804348A,Proverville,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10323,Romilly-sur-Seine,FRF22,Aube,1167.0,2612,1044800.0,INTE1804348A__20180115__20180205,INTE1804348A,Romilly-sur-Seine,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10329,Rouilly-Saint-Loup,FRF22,Aube,246.0,2116,846400.0,INTE1804348A__20180115__20180205,INTE1804348A,Rouilly-Saint-Loup,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10343,Saint-Julien-les-Villas,FRF22,Aube,14.0,13,5200.0,INTE1804348A__20180115__20180205,INTE1804348A,Saint-Julien-les-Villas,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10349,Saint-Lyé,FRF22,Aube,505.0,420,168000.0,INTE1804348A__20180115__20180205,INTE1804348A,Saint-Lyé,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10352,Sainte-Maure,FRF22,Aube,301.0,2351,940400.0,INTE1804348A__20180115__20180205,INTE1804348A,Sainte-Maure,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10353,Saint-Mesmin,FRF22,Aube,371.0,745,298000.0,INTE1804348A__20180115__20180205,INTE1804348A,Saint-Mesmin,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10368,Savières,FRF22,Aube,383.0,651,260400.0,INTE1804348A__20180115__20180205,INTE1804348A,Savières,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10392,Vallant-Saint-Georges,FRF22,Aube,881.0,452,180800.0,INTE1804348A__20180115__20180205,INTE1804348A,Vallant-Saint-Georges,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10406,Verrières,FRF22,Aube,311.0,442,176800.0,INTE1804348A__20180115__20180205,INTE1804348A,Verrières,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10408,Viâpres-le-Petit,FRF22,Aube,155.0,1922,768800.0,INTE1804348A__20180115__20180205,INTE1804348A,Viâpres-le-Petit,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,10437,Virey-sous-Bar,FRF22,Aube,30.0,101,40400.0,INTE1804348A__20180115__20180205,INTE1804348A,Virey-sous-Bar,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,25154,Chouzelot,FRC21,Doubs,46.0,65,26000.0,INTE1804348A__20180115__20180205,INTE1804348A,Chouzelot,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,25367,Mandeure,FRC21,Doubs,71.0,205,82000.0,INTE1804348A__20180115__20180205,INTE1804348A,Mandeure,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168.tif,2018-01-15,2018-02-05,25370,Mathay,FRC21,Doubs,207.0,217,86800.0,INTE1804348A__20180115__20180205,INTE1804348A,Mathay,ICB,Inondations et/ou Coulées de Boue,2018-01-15,2018-02-05,0,0,0,0,0,True,True,True,22,7
