metric,value
date_window_days,7
jrc_canonical_rows,64327
jrc_unique_events,288
jrc_unique_communes,9829
gaspar_canonical_rows,19017
gaspar_unique_event_uids,3451
gaspar_unique_decrees,164
gaspar_unique_communes,12430
commune_level_matches,462
matched_jrc_commune_events,434
matched_gaspar_commune_events,462
matched_jrc_events,18
matched_gaspar_event_uids,65
unmatched_jrc_commune_events,63893
unmatched_gaspar_commune_events,18555
unmatched_jrc_events,270
unmatched_gaspar_event_uids,3386
reciprocal_best_event_pairs,18
