metric,value
date_window_days,30
jrc_canonical_commune_rows,64327
jrc_unique_events,288
jrc_unique_communes,9829
jrc_unique_departments,90
gaspar_canonical_commune_rows,19217
gaspar_unique_event_uids,3505
gaspar_unique_decrees,164
gaspar_unique_communes,12469
gaspar_unique_departments,101
commune_level_matches,3668
matched_jrc_commune_events,3080
matched_gaspar_commune_events,2204
matched_jrc_events_commune_level,80
matched_gaspar_event_uids_commune_level,587
department_level_matches,4821
matched_jrc_department_events,1002
matched_gaspar_department_events,2466
matched_jrc_events_department_level,171
matched_gaspar_event_uids_department_level,1886
commune_level_reciprocal_best_event_pairs,50
department_level_reciprocal_best_event_pairs,123
