gaspar_event_uid,cod_nat_catnat,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments
INTE1507293A__20150216__20150217,INTE1507293A,2015-02-16,2015-02-17,1,1
INTE1510045A__20150215__20150216,INTE1510045A,2015-02-15,2015-02-16,1,1
INTE1510045A__20150216__20150217,INTE1510045A,2015-02-16,2015-02-17,2,1
INTE1510045A__20150315__20150317,INTE1510045A,2015-03-15,2015-03-17,11,1
INTE1511990A__20150225__20150227,INTE1511990A,2015-02-25,2015-02-27,2,1
INTE1511990A__20150315__20150317,INTE1511990A,2015-03-15,2015-03-17,28,1
INTE1516409A__20150315__20150317,INTE1516409A,2015-03-15,2015-03-17,3,1
INTE1516409A__20150416__20150418,INTE1516409A,2015-04-16,2015-04-18,3,1
INTE1516409A__20150426__20150426,INTE1516409A,2015-04-26,2015-04-26,1,1
INTE1516409A__20150426__20150428,INTE1516409A,2015-04-26,2015-04-28,3,1
INTE1516409A__20150426__20150501,INTE1516409A,2015-04-26,2015-05-01,2,1
INTE1516409A__20150430__20150501,INTE1516409A,2015-04-30,2015-05-01,1,1
INTE1516409A__20150430__20150502,INTE1516409A,2015-04-30,2015-05-02,11,1
INTE1516409A__20150430__20150503,INTE1516409A,2015-04-30,2015-05-03,1,1
INTE1516409A__20150430__20150504,INTE1516409A,2015-04-30,2015-05-04,21,1
INTE1516409A__20150430__20150505,INTE1516409A,2015-04-30,2015-05-05,4,1
INTE1516409A__20150501__20150501,INTE1516409A,2015-05-01,2015-05-01,1,1
INTE1516409A__20150501__20150502,INTE1516409A,2015-05-01,2015-05-02,15,2
INTE1516409A__20150501__20150503,INTE1516409A,2015-05-01,2015-05-03,10,2
INTE1516409A__20150501__20150504,INTE1516409A,2015-05-01,2015-05-04,7,1
INTE1516409A__20150501__20150505,INTE1516409A,2015-05-01,2015-05-05,1,1
INTE1516409A__20150501__20150506,INTE1516409A,2015-05-01,2015-05-06,2,2
INTE1516409A__20150502__20150504,INTE1516409A,2015-05-02,2015-05-04,1,1
INTE1516409A__20150503__20150504,INTE1516409A,2015-05-03,2015-05-04,2,1
INTE1516409A__20150504__20150504,INTE1516409A,2015-05-04,2015-05-04,1,1
INTE1516409A__20150610__20150610,INTE1516409A,2015-06-10,2015-06-10,1,1
INTE1517820A__20150315__20150317,INTE1517820A,2015-03-15,2015-03-17,3,1
INTE1517820A__20150426__20150426,INTE1517820A,2015-04-26,2015-04-26,2,2
INTE1517820A__20150430__20150501,INTE1517820A,2015-04-30,2015-05-01,1,1
INTE1517820A__20150430__20150504,INTE1517820A,2015-04-30,2015-05-04,2,1
INTE1517820A__20150501__20150502,INTE1517820A,2015-05-01,2015-05-02,2,2
INTE1517820A__20150501__20150503,INTE1517820A,2015-05-01,2015-05-03,3,2
INTE1517820A__20150501__20150504,INTE1517820A,2015-05-01,2015-05-04,4,1
INTE1517820A__20150501__20150505,INTE1517820A,2015-05-01,2015-05-05,1,1
INTE1517820A__20150503__20150504,INTE1517820A,2015-05-03,2015-05-04,1,1
INTE1517820A__20150605__20150605,INTE1517820A,2015-06-05,2015-06-05,27,2
INTE1517820A__20150612__20150612,INTE1517820A,2015-06-12,2015-06-12,1,1
INTE1517820A__20150615__20150615,INTE1517820A,2015-06-15,2015-06-15,1,1
INTE1523044A__20150416__20150416,INTE1523044A,2015-04-16,2015-04-16,2,1
INTE1523044A__20150426__20150426,INTE1523044A,2015-04-26,2015-04-26,1,1
INTE1523044A__20150502__20150502,INTE1523044A,2015-05-02,2015-05-02,1,1
INTE1523044A__20150605__20150606,INTE1523044A,2015-06-05,2015-06-06,1,1
INTE1523044A__20150606__20150606,INTE1523044A,2015-06-06,2015-06-06,1,1
INTE1523044A__20150607__20150609,INTE1523044A,2015-06-07,2015-06-09,1,1
INTE1523044A__20150611__20150611,INTE1523044A,2015-06-11,2015-06-11,2,2
INTE1523044A__20150612__20150612,INTE1523044A,2015-06-12,2015-06-12,3,2
INTE1523044A__20150612__20150614,INTE1523044A,2015-06-12,2015-06-14,1,1
INTE1523044A__20150613__20150613,INTE1523044A,2015-06-13,2015-06-13,10,4
INTE1523044A__20150614__20150614,INTE1523044A,2015-06-14,2015-06-14,2,2
INTE1523044A__20150616__20150616,INTE1523044A,2015-06-16,2015-06-16,1,1
INTE1523044A__20150823__20150823,INTE1523044A,2015-08-23,2015-08-23,31,1
INTE1523044A__20150823__20150824,INTE1523044A,2015-08-23,2015-08-24,2,1
INTE1523044A__20150831__20150831,INTE1523044A,2015-08-31,2015-08-31,31,1
INTE1523044A__20150912__20150912,INTE1523044A,2015-09-12,2015-09-12,3,1
INTE1523044A__20150912__20150913,INTE1523044A,2015-09-12,2015-09-13,24,1
INTE1523560A__20151003__20151003,INTE1523560A,2015-10-03,2015-10-03,32,2
