jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_communes,exact_date_commune_matches,jrc_match_share,gaspar_match_share,min_total_abs_date_diff_days,mean_total_abs_date_diff_days,max_interval_overlap_days,reciprocal_best_match
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,INTE1804348A__20180115__20180205,INTE1804348A,2018-01-15,2018-02-05,2018-01-15,2018-02-05,167,167,0.04525745257452574,0.605072463768116,0,0.0,22,True
WD_MERGE_2024-03-25---2024-05-27_duration_56_days_cluster_352_A0_004362_A_004851_lat_05011_lon_01451_size_0294,IOME2415152A__20240516__20240521,IOME2415152A,2024-03-25,2024-05-27,2024-05-16,2024-05-21,85,0,0.22193211488250653,0.2537313432835821,58,58.0,6,True
WD_MERGE_2023-10-09---2023-11-27_duration_35_days_cluster_346_A0_001489_A_001868_lat_04874_lon_00161_size_0346,IOME2333648A__20231113__20231124,IOME2333648A,2023-10-09,2023-11-27,2023-11-13,2023-11-24,75,0,0.03402903811252268,0.2435064935064935,38,38.0,12,True
WD_MERGE_2018-02-05---2018-03-12_duration_35_days_cluster_362_A0_000772_A_001006_lat_04696_lon_00126_size_0284,INTE1804348A__20180115__20180205,INTE1804348A,2018-02-05,2018-03-12,2018-01-15,2018-02-05,71,0,0.04310868245294475,0.2572463768115942,56,56.0,1,False
WD_MERGE_2021-07-12---2021-08-02_duration_21_days_cluster_159_A0_000619_A_000852_lat_04942_lon_00499_size_0246,INTE2122730A__20210713__20210716,INTE2122730A,2021-07-12,2021-08-02,2021-07-13,2021-07-16,66,0,0.0514820592823713,0.37714285714285717,18,18.0,4,True
WD_MERGE_2023-10-02---2023-11-27_duration_56_days_cluster_343_A0_001031_A_001249_lat_05091_lon_-0185_size_0363,IOME2333648A__20231113__20231124,IOME2333648A,2023-10-02,2023-11-27,2023-11-13,2023-11-24,63,0,0.09473684210526316,0.20454545454545456,45,45.0,12,False
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1615488A__20160528__20160605,INTE1615488A,2016-05-30,2016-06-13,2016-05-28,2016-06-05,61,0,0.2946859903381642,0.09886547811993517,10,10.0,7,True
WD_MERGE_2018-01-01---2018-01-29_duration_28_days_cluster_351_A0_002080_A_002749_lat_04958_lon_00796_size_0325,INTE1804348A__20180115__20180205,INTE1804348A,2018-01-01,2018-01-29,2018-01-15,2018-02-05,60,0,0.02578427159432746,0.21739130434782608,21,21.0,15,False
WD_MERGE_2024-03-25---2024-05-27_duration_49_days_cluster_354_A0_002117_A_002338_lat_04497_lon_00089_size_0436,IOME2410127A__20240330__20240405,IOME2410127A,2024-03-25,2024-05-27,2024-03-30,2024-04-05,57,0,0.017325227963525838,0.57,57,57.0,7,True
WD_MERGE_2021-01-11---2021-02-15_duration_35_days_cluster_351_A0_002339_A_003019_lat_04904_lon_00226_size_0328,INTE2104714A__20210203__20210209,INTE2104714A,2021-01-11,2021-02-15,2021-02-03,2021-02-09,55,0,0.016876342436330162,0.6395348837209303,29,29.0,7,True
