jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_departments,exact_date_department_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,INTE1806551A__20180115__20180205,INTE1806551A,2018-01-15,2018-02-05,2018-01-15,2018-02-05,10,10,10,0,10,0.0,0.0,0.0,0,22,2018-01-15,2018-02-05,3690,60,60,2018-01-15,2018-02-05,120,10,0.16666666666666666,1.0,1
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180611__20180611,INTE1820387A,2018-06-04,2018-06-18,2018-06-11,2018-06-11,8,0,8,8,8,7.0,7.0,14.0,14,1,2018-06-04,2018-06-18,214,14,14,2018-06-11,2018-06-11,122,22,0.5714285714285714,0.36363636363636365,1
WD_MERGE_2018-01-01---2018-01-29_duration_28_days_cluster_351_A0_002080_A_002749_lat_04958_lon_00796_size_0325,INTE1806551A__20180115__20180205,INTE1806551A,2018-01-01,2018-01-29,2018-01-15,2018-02-05,6,0,0,0,6,14.0,7.0,21.0,21,15,2018-01-01,2018-01-29,2327,31,31,2018-01-15,2018-02-05,120,10,0.1935483870967742,0.6,1
WD_MERGE_2021-07-12---2021-08-02_duration_21_days_cluster_159_A0_000619_A_000852_lat_04942_lon_00499_size_0246,INTE2122730A__20210713__20210716,INTE2122730A,2021-07-12,2021-08-02,2021-07-13,2021-07-16,5,0,0,0,5,1.0,17.0,18.0,18,4,2021-07-12,2021-08-02,1282,26,26,2021-07-13,2021-07-16,175,5,0.19230769230769232,1.0,1
WD_MERGE_2019-11-04---2020-01-06_duration_56_days_cluster_351_A0_000915_A_001176_lat_04685_lon_00678_size_0668,INTE1935602A__20191201__20191202,INTE1935602A,2019-11-04,2020-01-06,2019-12-01,2019-12-02,5,0,0,0,5,27.0,35.0,62.0,62,2,2019-11-04,2020-01-06,686,33,33,2019-12-01,2019-12-02,73,5,0.15151515151515152,1.0,1
WD_MERGE_2018-02-05---2018-03-12_duration_35_days_cluster_362_A0_000772_A_001006_lat_04696_lon_00126_size_0284,INTE1806551A__20180115__20180205,INTE1806551A,2018-02-05,2018-03-12,2018-01-15,2018-02-05,5,0,0,0,5,21.0,35.0,56.0,56,1,2018-02-05,2018-03-12,1647,48,48,2018-01-15,2018-02-05,120,10,0.10416666666666667,0.5,1
WD_MERGE_2021-11-29---2022-01-03_duration_35_days_cluster_315_A0_000249_A_000319_lat_04189_lon_-0074_size_0186,INTE2204344A__20220109__20220112,INTE2204344A,2021-11-29,2022-01-03,2022-01-09,2022-01-12,4,0,0,0,4,41.0,9.0,50.0,50,0,2021-11-29,2022-01-03,325,9,9,2022-01-09,2022-01-12,19,4,0.4444444444444444,1.0,1
WD_MERGE_2024-09-23---2024-11-11_duration_35_days_cluster_367_A0_000578_A_000623_lat_04898_lon_00513_size_0555,INTE2428510A__20241015__20241019,INTE2428510A,2024-09-23,2024-11-11,2024-10-15,2024-10-19,4,0,0,0,4,22.0,23.0,45.0,45,5,2024-09-23,2024-11-11,575,25,25,2024-10-15,2024-10-19,360,10,0.16,0.4,1
WD_MERGE_2024-03-25---2024-05-27_duration_49_days_cluster_354_A0_002117_A_002338_lat_04497_lon_00089_size_0436,INTE2424582A__20240511__20240511,INTE2424582A,2024-03-25,2024-05-27,2024-05-11,2024-05-11,4,0,0,0,4,47.0,16.0,63.0,63,1,2024-03-25,2024-05-27,3290,69,69,2024-05-11,2024-05-11,14,4,0.057971014492753624,1.0,1
WD_MERGE_2016-05-30---2016-06-06_duration_7_days_cluster_110_A0_000048_A_000077_lat_04747_lon_-0062_size_0013,INTE1620877A__20160528__20160528,INTE1620877A,2016-05-30,2016-06-06,2016-05-28,2016-05-28,3,0,0,0,3,2.0,9.0,11.0,11,0,2016-05-30,2016-06-06,50,4,4,2016-05-28,2016-05-28,45,15,0.75,0.2,1
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,INTE1620877A__20160528__20160530,INTE1620877A,2016-05-30,2016-06-13,2016-05-28,2016-05-30,3,0,0,0,3,2.0,14.0,16.0,16,1,2016-05-30,2016-06-13,207,13,13,2016-05-28,2016-05-30,21,5,0.23076923076923078,0.6,1
WD_MERGE_2024-03-25---2024-05-27_duration_56_days_cluster_352_A0_004362_A_004851_lat_05011_lon_01451_size_0294,IOME2415152A__20240516__20240521,IOME2415152A,2024-03-25,2024-05-27,2024-05-16,2024-05-21,3,0,0,0,3,52.0,6.0,58.0,58,6,2024-03-25,2024-05-27,383,16,16,2024-05-16,2024-05-21,335,3,0.1875,1.0,1
WD_MERGE_2024-05-13---2024-07-01_duration_49_days_cluster_364_A0_002268_A_002512_lat_04864_lon_01385_size_0345,IOME2415152A__20240516__20240521,IOME2415152A,2024-05-13,2024-07-01,2024-05-16,2024-05-21,3,0,0,0,3,3.0,41.0,44.0,44,6,2024-05-13,2024-07-01,165,22,22,2024-05-16,2024-05-21,335,3,0.13636363636363635,1.0,1
WD_MERGE_2019-10-07---2019-12-02_duration_42_days_cluster_348_A0_000880_A_001045_lat_04970_lon_-0128_size_0367,INTE1931207A__20191022__20191023,INTE1931207A,2019-10-07,2019-12-02,2019-10-22,2019-10-23,3,0,0,0,3,15.0,40.0,55.0,55,2,2019-10-07,2019-12-02,621,24,24,2019-10-22,2019-10-23,186,6,0.125,0.5,1
WD_MERGE_2023-12-11---2024-01-01_duration_21_days_cluster_358_A0_001246_A_001597_lat_05134_lon_00222_size_0362,IOME2407754A__20240102__20240104,IOME2407754A,2023-12-11,2024-01-01,2024-01-02,2024-01-04,3,0,0,0,3,22.0,3.0,25.0,25,0,2023-12-11,2024-01-01,803,28,28,2024-01-02,2024-01-04,15,3,0.10714285714285714,1.0,1
WD_MERGE_2018-01-01---2018-01-29_duration_28_days_cluster_349_A0_000442_A_000522_lat_04875_lon_-0083_size_0117,INTE1818802A__20180122__20180122,INTE1818802A,2018-01-01,2018-01-29,2018-01-22,2018-01-22,3,0,0,0,3,21.0,7.0,28.0,28,1,2018-01-01,2018-01-29,822,32,32,2018-01-22,2018-01-22,4,3,0.09375,1.0,1
WD_MERGE_2019-11-18---2020-01-06_duration_42_days_cluster_353_A0_000853_A_001110_lat_04494_lon_-0368_size_0472,INTE2005870A__20191213__20191215,INTE2005870A,2019-11-18,2020-01-06,2019-12-13,2019-12-15,3,0,0,0,3,25.0,22.0,47.0,47,3,2019-11-18,2020-01-06,1086,32,32,2019-12-13,2019-12-15,10,3,0.09375,1.0,1
WD_MERGE_2020-12-28---2021-02-08_duration_42_days_cluster_345_A0_001379_A_001714_lat_05131_lon_-0153_size_0295,INTE2104714A__20210203__20210209,INTE2104714A,2020-12-28,2021-02-08,2021-02-03,2021-02-09,3,0,0,0,3,37.0,1.0,38.0,38,6,2020-12-28,2021-02-08,1267,42,42,2021-02-03,2021-02-09,86,3,0.07142857142857142,1.0,1
WD_MERGE_2024-01-01---2024-02-05_duration_35_days_cluster_333_A0_001861_A_002025_lat_04966_lon_00582_size_0555,IOME2407754A__20240102__20240104,IOME2407754A,2024-01-01,2024-02-05,2024-01-02,2024-01-04,3,0,0,0,3,1.0,32.0,33.0,33,3,2024-01-01,2024-02-05,1975,45,45,2024-01-02,2024-01-04,15,3,0.06666666666666667,1.0,1
WD_MERGE_2021-01-11---2021-02-15_duration_35_days_cluster_351_A0_002339_A_003019_lat_04904_lon_00226_size_0328,INTE2107265A__20210201__20210204,INTE2107265A,2021-01-11,2021-02-15,2021-02-01,2021-02-04,3,0,0,0,3,21.0,11.0,32.0,32,4,2021-01-11,2021-02-15,3259,56,56,2021-02-01,2021-02-04,23,5,0.05357142857142857,0.6,1
WD_MERGE_2018-06-11---2018-06-18_duration_7_days_cluster_108_A0_000040_A_000058_lat_04315_lon_-0110_size_0066,INTE1818802A__20180612__20180613,INTE1818802A,2018-06-11,2018-06-18,2018-06-12,2018-06-13,2,0,2,2,2,1.0,5.0,6.0,6,2,2018-06-11,2018-06-18,71,2,2,2018-06-12,2018-06-13,56,2,1.0,1.0,1
WD_MERGE_2018-05-28---2018-06-04_duration_7_days_cluster_093_A0_000004_A_000005_lat_04870_lon_-0387_size_0025,INTE1820387A__20180608__20180609,INTE1820387A,2018-05-28,2018-06-04,2018-06-08,2018-06-09,2,0,0,0,2,11.0,5.0,16.0,16,0,2018-05-28,2018-06-04,11,2,2,2018-06-08,2018-06-09,4,4,1.0,0.5,1
