jrc_event_id,raster_file,jrc_start_date,jrc_end_date,insee_com,jrc_department_code,jrc_commune_name,nuts3_code,nuts3_name,max_depth_cm,flooded_pixels,flooded_area_m2,gaspar_event_uid,cod_nat_catnat,gaspar_department_code,gaspar_commune_name,num_risque_jo,lib_risque_jo,gaspar_start_date,gaspar_end_date,dept_ref_nuts3_code,dept_ref_nuts3_name,start_diff_days,end_diff_days,abs_start_diff_days,abs_end_diff_days,total_abs_date_diff_days,exact_date_match,jrc_start_minus_gaspar_end_days,gaspar_start_minus_jrc_end_days,abs_jrc_start_minus_gaspar_end_days,abs_gaspar_start_minus_jrc_end_days,within_start_end_window,within_cross_start_end_window,window_expanded_interval_overlap,interval_overlap_days,flexible_date_match,flexible_match_reason,date_window_days
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,41002,41,Angé,FRB05,Loir-et-Cher,160.0,121,48400.0,INTE1615488A__20160528__20160604,INTE1615488A,41,Angé,ICB,Inondations et/ou Coulées de Boue,2016-05-28,2016-06-04,FRB05,Loir-et-Cher,2,9,2,9,11,False,-5,-16,5,16,False,False,True,6,True,expanded_interval_overlap,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,41018,41,Blois,FRB05,Loir-et-Cher,378.0,335,134000.0,INTE1615488A__20160528__20160604,INTE1615488A,41,Blois,ICB,Inondations et/ou Coulées de Boue,2016-05-28,2016-06-04,FRB05,Loir-et-Cher,2,9,2,9,11,False,-5,-16,5,16,False,False,True,6,True,expanded_interval_overlap,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,41029,41,Candé-sur-Beuvron,FRB05,Loir-et-Cher,715.0,162,64800.0,INTE1615488A__20160528__20160604,INTE1615488A,41,Candé-sur-Beuvron,ICB,Inondations et/ou Coulées de Boue,2016-05-28,2016-06-04,FRB05,Loir-et-Cher,2,9,2,9,11,False,-5,-16,5,16,False,False,True,6,True,expanded_interval_overlap,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,41036,41,Chaon,FRB05,Loir-et-Cher,50.0,188,75200.0,INTE1615488A__20160528__20160604,INTE1615488A,41,Chaon,ICB,Inondations et/ou Coulées de Boue,2016-05-28,2016-06-04,FRB05,Loir-et-Cher,2,9,2,9,11,False,-5,-16,5,16,False,False,True,6,True,expanded_interval_overlap,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,41040,41,La Chapelle-Vendômoise,FRB05,Loir-et-Cher,60.0,266,106400.0,INTE1615488A__20160528__20160604,INTE1615488A,41,La Chapelle-Vendômoise,ICB,Inondations et/ou Coulées de Boue,2016-05-28,2016-06-04,FRB05,Loir-et-Cher,2,9,2,9,11,False,-5,-16,5,16,False,False,True,6,True,expanded_interval_overlap,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,41047,41,La Chaussée-Saint-Victor,FRB05,Loir-et-Cher,210.0,154,61600.0,INTE1615488A__20160528__20160604,INTE1615488A,41,La Chaussée-Saint-Victor,ICB,Inondations et/ou Coulées de Boue,2016-05-28,2016-06-04,FRB05,Loir-et-Cher,2,9,2,9,11,False,-5,-16,5,16,False,False,True,6,True,expanded_interval_overlap,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,41055,41,Valloire-sur-Cisse,FRB05,Loir-et-Cher,1492.0,671,268400.0,INTE1615488A__20160528__20160604,INTE1615488A,41,Valloire-sur-Cisse,ICB,Inondations et/ou Coulées de Boue,2016-05-28,2016-06-04,FRB05,Loir-et-Cher,2,9,2,9,11,False,-5,-16,5,16,False,False,True,6,True,expanded_interval_overlap,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,41093,41,Françay,FRB05,Loir-et-Cher,73.0,5,2000.0,INTE1615488A__20160528__20160604,INTE1615488A,41,Françay,ICB,Inondations et/ou Coulées de Boue,2016-05-28,2016-06-04,FRB05,Loir-et-Cher,2,9,2,9,11,False,-5,-16,5,16,False,False,True,6,True,expanded_interval_overlap,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,41106,41,Lamotte-Beuvron,FRB05,Loir-et-Cher,240.0,499,199600.0,INTE1615488A__20160528__20160604,INTE1615488A,41,Lamotte-Beuvron,ICB,Inondations et/ou Coulées de Boue,2016-05-28,2016-06-04,FRB05,Loir-et-Cher,2,9,2,9,11,False,-5,-16,5,16,False,False,True,6,True,expanded_interval_overlap,7
WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147,WD_MERGE_2016-05-30---2016-06-13_duration_14_days_cluster_111_A0_000021_A_000026_lat_04738_lon_00255_size_0147.tif,2016-05-30,2016-06-13,41129,41,Maslives,FRB05,Loir-et-Cher,73.0,123,49200.0,INTE1615488A__20160528__20160604,INTE1615488A,41,Maslives,ICB,Inondations et/ou Coulées de Boue,2016-05-28,2016-06-04,FRB05,Loir-et-Cher,2,9,2,9,11,False,-5,-16,5,16,False,False,True,6,True,expanded_interval_overlap,7
