jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_departments,exact_date_department_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank,reciprocal_best_match
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,INTE1806551A__20180115__20180205,INTE1806551A,2018-01-15,2018-02-05,2018-01-15,2018-02-05,10,10,10,0,10,0.0,0.0,0.0,0,22,2018-01-15,2018-02-05,3690,60,60,2018-01-15,2018-02-05,120,10,0.16666666666666666,1.0,1,True
WD_MERGE_2018-01-15---2018-02-05_duration_21_days_cluster_356_A0_001736_A_002252_lat_04804_lon_00395_size_0168,INTE1804348A__20180115__20180205,INTE1804348A,2018-01-15,2018-02-05,2018-01-15,2018-02-05,10,10,10,0,10,0.0,0.0,0.0,0,22,2018-01-15,2018-02-05,3690,60,60,2018-01-15,2018-02-05,276,14,0.16666666666666666,0.7142857142857143,2,False
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180611__20180611,INTE1820387A,2018-06-04,2018-06-18,2018-06-11,2018-06-11,8,0,8,8,8,7.0,7.0,14.0,14,1,2018-06-04,2018-06-18,214,14,14,2018-06-11,2018-06-11,122,22,0.5714285714285714,0.36363636363636365,1,True
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180609__20180609,INTE1820387A,2018-06-04,2018-06-18,2018-06-09,2018-06-09,6,0,0,0,6,5.0,9.0,14.0,14,1,2018-06-04,2018-06-18,214,14,14,2018-06-09,2018-06-09,75,11,0.42857142857142855,0.5454545454545454,2,False
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180604__20180604,INTE1820387A,2018-06-04,2018-06-18,2018-06-04,2018-06-04,6,0,0,0,6,0.0,14.0,14.0,14,1,2018-06-04,2018-06-18,214,14,14,2018-06-04,2018-06-04,64,12,0.42857142857142855,0.5,3,False
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1824833A__20180604__20180604,INTE1824833A,2018-06-04,2018-06-18,2018-06-04,2018-06-04,6,0,0,0,6,0.0,14.0,14.0,14,1,2018-06-04,2018-06-18,214,14,14,2018-06-04,2018-06-04,26,14,0.42857142857142855,0.42857142857142855,4,False
WD_MERGE_2018-01-01---2018-01-29_duration_28_days_cluster_351_A0_002080_A_002749_lat_04958_lon_00796_size_0325,INTE1806551A__20180115__20180205,INTE1806551A,2018-01-01,2018-01-29,2018-01-15,2018-02-05,6,0,0,0,6,14.0,7.0,21.0,21,15,2018-01-01,2018-01-29,2327,31,31,2018-01-15,2018-02-05,120,10,0.1935483870967742,0.6,1,False
WD_MERGE_2018-01-01---2018-01-29_duration_28_days_cluster_351_A0_002080_A_002749_lat_04958_lon_00796_size_0325,INTE1804348A__20180115__20180205,INTE1804348A,2018-01-01,2018-01-29,2018-01-15,2018-02-05,6,0,0,0,6,14.0,7.0,21.0,21,15,2018-01-01,2018-01-29,2327,31,31,2018-01-15,2018-02-05,276,14,0.1935483870967742,0.42857142857142855,2,False
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1824833A__20180611__20180612,INTE1824833A,2018-06-04,2018-06-18,2018-06-11,2018-06-12,5,0,5,0,5,7.0,6.0,13.0,13,2,2018-06-04,2018-06-18,214,14,14,2018-06-11,2018-06-12,35,9,0.35714285714285715,0.5555555555555556,5,False
WD_MERGE_2018-06-04---2018-06-18_duration_14_days_cluster_098_A0_000042_A_000061_lat_04818_lon_-0084_size_0084,INTE1820387A__20180528__20180528,INTE1820387A,2018-06-04,2018-06-18,2018-05-28,2018-05-28,5,0,0,0,5,7.0,21.0,28.0,28,0,2018-06-04,2018-06-18,214,14,14,2018-05-28,2018-05-28,29,14,0.35714285714285715,0.35714285714285715,6,False
