jrc_event_id,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments
WD_MERGE_2015-01-12---2015-01-26_duration_14_days_cluster_015_A0_000006_A_000009_lat_04879_lon_00478_size_0056,2015-01-12,2015-01-26,66,7,7
WD_MERGE_2015-01-12---2015-02-23_duration_35_days_cluster_016_A0_000229_A_000294_lat_05413_lon_01326_size_0370,2015-01-12,2015-02-23,94,11,11
WD_MERGE_2015-01-19---2015-02-09_duration_21_days_cluster_020_A0_000048_A_000064_lat_04674_lon_00155_size_0230,2015-01-19,2015-02-09,212,17,17
WD_MERGE_2015-02-02---2015-02-09_duration_7_days_cluster_023_A0_000027_A_000037_lat_04373_lon_-0109_size_0012,2015-02-02,2015-02-09,65,3,3
WD_MERGE_2015-02-09---2015-03-09_duration_21_days_cluster_030_A0_000136_A_000201_lat_04219_lon_-0233_size_0175,2015-02-09,2015-03-09,126,6,6
WD_MERGE_2015-02-16---2015-03-09_duration_14_days_cluster_035_A0_000067_A_000086_lat_04928_lon_00023_size_0118,2015-02-16,2015-03-09,174,11,11
WD_MERGE_2015-03-09---2015-03-23_duration_14_days_cluster_049_A0_000013_A_000015_lat_04378_lon_-0112_size_0017,2015-03-09,2015-03-23,30,2,2
WD_MERGE_2015-03-16---2015-03-23_duration_7_days_cluster_055_A0_000001_A_000002_lat_04635_lon_00580_size_0044,2015-03-16,2015-03-23,17,3,3
WD_MERGE_2015-03-30---2015-04-20_duration_21_days_cluster_067_A0_000002_A_000002_lat_04617_lon_00506_size_0023,2015-03-30,2015-04-20,41,6,6
WD_MERGE_2015-04-27---2015-05-11_duration_14_days_cluster_092_A0_000022_A_000031_lat_04846_lon_-0194_size_0116,2015-04-27,2015-05-11,103,10,10
WD_MERGE_2015-04-27---2015-05-11_duration_14_days_cluster_093_A0_000028_A_000040_lat_04688_lon_00519_size_0015,2015-04-27,2015-05-11,98,9,9
WD_MERGE_2015-04-27---2015-06-08_duration_35_days_cluster_091_A0_000792_A_000893_lat_03855_lon_-0501_size_0313,2015-04-27,2015-06-08,4,1,1
WD_MERGE_2015-05-18---2015-05-25_duration_7_days_cluster_107_A0_000017_A_000019_lat_04358_lon_00458_size_0014,2015-05-18,2015-05-25,10,2,2
WD_MERGE_2015-06-01---2015-06-08_duration_7_days_cluster_119_A0_000002_A_000002_lat_04690_lon_00312_size_0169,2015-06-01,2015-06-08,22,5,5
WD_MERGE_2015-06-29---2015-07-06_duration_7_days_cluster_143_A0_000003_A_000003_lat_04756_lon_-0300_size_0032,2015-06-29,2015-07-06,28,3,3
WD_MERGE_2015-07-06---2015-07-13_duration_7_days_cluster_149_A0_000001_A_000001_lat_04598_lon_00503_size_0007,2015-07-06,2015-07-13,14,1,1
WD_MERGE_2015-07-13---2015-07-20_duration_7_days_cluster_155_A0_000006_A_000007_lat_04871_lon_-0384_size_0023,2015-07-13,2015-07-20,13,2,2
WD_MERGE_2015-08-31---2015-09-07_duration_7_days_cluster_202_A0_000007_A_000009_lat_04755_lon_-0271_size_0009,2015-08-31,2015-09-07,29,3,3
WD_MERGE_2015-09-14---2015-09-21_duration_7_days_cluster_215_A0_000001_A_000001_lat_04774_lon_-0335_size_0015,2015-09-14,2015-09-21,18,2,2
WD_MERGE_2015-09-28---2015-10-12_duration_14_days_cluster_226_A0_000004_A_000005_lat_04874_lon_-0367_size_0009,2015-09-28,2015-10-12,14,2,2
WD_MERGE_2015-10-12---2015-10-19_duration_7_days_cluster_241_A0_000001_A_000001_lat_04609_lon_-0075_size_0051,2015-10-12,2015-10-19,12,6,6
WD_MERGE_2015-10-26---2015-11-02_duration_7_days_cluster_256_A0_000002_A_000002_lat_04968_lon_00324_size_0123,2015-10-26,2015-11-02,27,8,8
WD_MERGE_2015-10-26---2015-11-09_duration_14_days_cluster_253_A0_000003_A_000004_lat_04534_lon_-0093_size_0078,2015-10-26,2015-11-09,19,3,3
WD_MERGE_2015-11-09---2016-01-04_duration_56_days_cluster_343_A0_000186_A_000219_lat_05482_lon_00605_size_0290,2015-11-09,2016-01-04,3,1,1
WD_MERGE_2015-11-16---2015-11-30_duration_14_days_cluster_275_A0_000003_A_000004_lat_04833_lon_-0346_size_0055,2015-11-16,2015-11-30,26,4,4
WD_MERGE_2015-11-23---2015-12-21_duration_28_days_cluster_286_A0_000030_A_000033_lat_03957_lon_-0024_size_0035,2015-11-23,2015-12-21,5,1,1
WD_MERGE_2015-11-23---2016-01-04_duration_42_days_cluster_344_A0_000799_A_000977_lat_05363_lon_-0629_size_0175,2015-11-23,2016-01-04,29,3,3
WD_MERGE_2015-12-14---2015-12-21_duration_7_days_cluster_307_A0_000010_A_000012_lat_04929_lon_-0133_size_0008,2015-12-14,2015-12-21,25,3,3
WD_MERGE_2015-12-21---2015-12-28_duration_7_days_cluster_318_A0_000001_A_000001_lat_04869_lon_-0377_size_0019,2015-12-21,2015-12-28,10,2,2
WD_MERGE_2015-12-28---2016-02-22_duration_42_days_cluster_295_A0_001005_A_001282_lat_05056_lon_00078_size_0424,2015-12-28,2016-02-22,1127,41,41
WD_MERGE_2016-01-04---2016-01-11_duration_7_days_cluster_005_A0_000009_A_000011_lat_04378_lon_-0108_size_0015,2016-01-04,2016-01-11,32,2,2
WD_MERGE_2016-01-18---2016-01-25_duration_7_days_cluster_018_A0_000005_A_000006_lat_04381_lon_-0108_size_0018,2016-01-18,2016-01-25,15,2,2
WD_MERGE_2016-01-25---2016-03-14_duration_49_days_cluster_025_A0_000168_A_000250_lat_04034_lon_-0700_size_0154,2016-01-25,2016-03-14,75,2,2
WD_MERGE_2016-02-08---2016-03-21_duration_42_days_cluster_299_A0_000993_A_001287_lat_04880_lon_00221_size_0343,2016-02-08,2016-03-21,1894,52,52
WD_MERGE_2016-02-22---2016-04-18_duration_49_days_cluster_300_A0_000346_A_000432_lat_05197_lon_-0062_size_0391,2016-02-22,2016-04-18,182,13,13
WD_MERGE_2016-04-11---2016-04-18_duration_7_days_cluster_073_A0_000014_A_000016_lat_04363_lon_00454_size_0011,2016-04-11,2016-04-18,39,5,5
WD_MERGE_2016-04-18---2016-04-25_duration_7_days_cluster_078_A0_000035_A_000067_lat_04542_lon_00719_size_0040,2016-04-18,2016-04-25,17,3,3
WD_MERGE_2016-05-23---2016-05-30_duration_7_days_cluster_107_A0_000001_A_000001_lat_04838_lon_-0485_size_0004,2016-05-23,2016-05-30,4,1,1
WD_MERGE_2016-05-30---2016-06-06_duration_7_days_cluster_110_A0_000048_A_000077_lat_04747_lon_-0062_size_0013,2016-05-30,2016-06-06,50,4,4
WD_MERGE_2016-06-06---2016-06-13_duration_7_days_cluster_117_A0_000001_A_000001_lat_04838_lon_-0488_size_0001,2016-06-06,2016-06-13,4,1,1
WD_MERGE_2016-07-25---2016-08-01_duration_7_days_cluster_157_A0_000001_A_000001_lat_04838_lon_-0491_size_0001,2016-07-25,2016-08-01,2,1,1
WD_MERGE_2016-07-25---2016-08-01_duration_7_days_cluster_158_A0_000002_A_000002_lat_04431_lon_-0047_size_0010,2016-07-25,2016-08-01,8,2,2
WD_MERGE_2016-08-29---2016-09-05_duration_7_days_cluster_192_A0_000001_A_000001_lat_04596_lon_00498_size_0005,2016-08-29,2016-09-05,12,2,2
WD_MERGE_2016-09-19---2016-09-26_duration_7_days_cluster_205_A0_000003_A_000003_lat_04877_lon_-0355_size_0003,2016-09-19,2016-09-26,10,3,3
WD_MERGE_2016-10-03---2016-11-14_duration_28_days_cluster_218_A0_000101_A_000132_lat_05169_lon_-0305_size_0231,2016-10-03,2016-11-14,105,7,7
WD_MERGE_2016-11-14---2016-11-21_duration_7_days_cluster_257_A0_000011_A_000014_lat_04873_lon_-0356_size_0111,2016-11-14,2016-11-21,59,4,4
WD_MERGE_2016-11-14---2016-11-21_duration_7_days_cluster_258_A0_000002_A_000003_lat_04571_lon_-0109_size_0020,2016-11-14,2016-11-21,15,3,3
WD_MERGE_2016-11-14---2016-12-19_duration_35_days_cluster_259_A0_000162_A_000198_lat_05177_lon_-0106_size_0154,2016-11-14,2016-12-19,94,10,10
WD_MERGE_2016-12-05---2016-12-19_duration_14_days_cluster_275_A0_000005_A_000006_lat_04512_lon_00294_size_0209,2016-12-05,2016-12-19,37,10,10
WD_MERGE_2016-12-12---2016-12-19_duration_7_days_cluster_277_A0_000006_A_000008_lat_04864_lon_-0339_size_0127,2016-12-12,2016-12-19,39,3,3
WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_002_A0_000004_A_000004_lat_04476_lon_00471_size_0139,2016-12-26,2017-01-02,37,8,8
WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_287_A0_000003_A_000004_lat_04875_lon_-0370_size_0012,2016-12-26,2017-01-02,14,2,2
WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_289_A0_000003_A_000004_lat_04432_lon_00463_size_0093,2016-12-26,2017-01-02,27,4,4
