ID,Country code,Year,Country name,Start date,End date,Type,Flood source,Regions affected (v2010),Regions affected (v2021),Regions affected (v2024),Area flooded’,Fatalities,Persons affected,Losses (nominal value),Losses (original currency),Losses (2024 euro),Cause,Notes,References,Changes
1,AD,1982,Andorra,06/11/1982,08/11/1982,Flash,Valira,AD000,AD000,AD000,,13,,"4,000,000,000",ADP,109882014,Extreme rainfall up to over 200 mm in 24 h,Also severe windstorm,Trapero et al. (2013); Meteo France (2022); Thomas (1983a),
2,AT,1897,Austria,1897-07-31,1897-07-31,River,Donau,AT126;AT130;AT315,AT126;AT130;AT315,AT126;AT130;AT315,,,"200,000",,,,Heavy rainfall,,Hohensinner (2020); BMLFUW (2021c),
3,AT,1899,Austria,1899-09-12,1899-09-12,River,Donau,AT121;AT123;AT126;AT130;AT315;AT323,AT121;AT123;AT126;AT130;AT315;AT323,AT121;AT123;AT126;AT130;AT315;AT323,"1,070",,"200,000",,,,Heavy rainfall up to 329 mm in 48 h,,Hohensinner (2020); Blöschl et al. (2013); BMLFUW (2021c); Salzburgwiki (2023),
4,AT,1907,Austria,17/07/1907,17/07/1907,River,Donau,AT130,AT130,AT130,,0,264,,,,Heavy rainfall,,Hohensinner (2020),
5,AT,1958,Austria,12/08/1958,13/08/1958,Flash,,AT223,AT223,AT223,,11,,"200,000,000",ATS,121698113,Extreme rainfall up to 500 mm in 8 h,,BMLFUW (2017); EIONET (2016),
6,AT,1965,Austria,01/09/1965,04/09/1965,River,Drau,AT211;AT212;AT333,AT211;AT212;AT333,AT211;AT212;AT333,100,2,,"600,000,000",ATS,280601125,Heavy rainfall up to 181 mm in 48 h and snowmelt,,Kaertnen ORF (2015); Weber and Braun (2014); Amt der Kärntner Landesregierung (1969); BMLFUW (2021a),
7,AT,1966,Austria,18/08/1966,23/08/1966,River,Drau,AT211;AT212;AT333,AT211;AT212;AT333,AT211;AT212;AT333,,6,,"487,000,000",ATS,220858566,Heavy rainfall up to 200 mm in 24 h,Also landslides (multiple fatalities),Kaertnen ORF (2016); Amt der Kärntner Landesregierung (1969); BMLFUW (2021a),
8,AT,1985,Austria,05/08/1985,08/08/1985,River,Danube; Inn; Gars; Gasteiner Ache,AT121;AT311;AT322;AT332;AT335,AT121;AT311;AT322;AT332;AT335,AT121;AT311;AT322;AT332;AT335,,12,,,,,Heavy rainfall up to 80 mm in 24 h and snowmelt,Also landslides and windstorm; 100m ATS loss in AT31,CRED (2025); EEA (2015); Brakenridge (2022); Land Salzburg (2023); Thomas (1986); Land Tirol (2006),
9,AT,1987,Austria,24/08/1987,28/08/1987,River,Ötztaler Ache,AT334,AT334,AT334,,13,,"2,800,000,000",ATS,442660410,Heavy rainfall up to 100 mm in 72 h and snowmelt,Also landslides,Weber and Braun (2014); EEA (2015); Thomas (1988a),
10,AT,1991,Austria,02/08/1991,06/08/1991,River,Donau; Emms; Steyr; Schwemmbach,AT121;AT126;AT311;AT312;AT323,AT121;AT126;AT311;AT312;AT323,AT121;AT126;AT311;AT312;AT323,60,6,,"1,000,000,000",ATS,141668029,Heavy rainfall,,CRED (2025); EEA (2015); Brakenridge (2022); Kronen Zeitung (2013); Land Salzburg (2023),
11,AT,1994,Austria,18/07/1994,22/07/1994,Flash,Donaugraben,AT126,AT126,AT126,,1,,,,,Extreme rainfall up to 45 mm in 3 h,Daily dates approximate,Weber and Braun (2014); Kurier (2021),
12,AT,1995,Austria,27/06/1995,27/06/1995,Flash,,AT323,AT323,AT323,,2,,"50,000,000",ATS,6381764,Extreme rainfall,,CRED (2025); Munich Re (2017),
