cod_commune;lib_commune;dat_publi_dicrim
76663;Sassetot-le-Mauconduit;2003-12-31 01:00:00
76651;Saint-Sylvain;2020-12-31 01:00:00
95580;Saint-Witz;1999-01-01 01:00:00
95541;Saint-Clair-sur-Epte;1999-01-01 01:00:00
95523;La Roche-Guyon;1999-01-01 01:00:00
95394;Méry-sur-Oise;1999-01-01 01:00:00
95392;Mériel;1999-01-01 01:00:00
95127;Cergy;1999-01-01 01:00:00
95120;Butry-sur-Oise;1999-01-01 01:00:00
94078;Villeneuve-Saint-Georges;1998-01-01 01:00:00
94077;Villeneuve-le-Roi;1998-01-01 01:00:00
94069;Saint-Maurice;1997-01-01 01:00:00
94068;Saint-Maur-des-Fossés;1997-01-01 01:00:00
94058;Le Perreux-sur-Marne;1999-01-01 01:00:00
94054;Orly;1999-01-01 01:00:00
94043;Le Kremlin-Bicêtre;1997-01-01 01:00:00
94037;Gentilly;1998-01-01 01:00:00
94033;Fontenay-sous-Bois;1998-01-01 01:00:00
94022;Choisy-le-Roi;1997-01-01 01:00:00
82187;Varen;1996-01-01 01:00:00
82181;Sistels;1998-01-01 01:00:00
82175;Saint-Vincent-Lespinasse;1998-01-01 01:00:00
82166;Saint-Michel;1998-01-01 01:00:00
82165;Saint-Loup;1998-01-01 01:00:00
82160;Saint-Clair;1998-01-01 01:00:00
82158;Saint-Cirice;1998-01-01 01:00:00
82155;Saint-Antonin-Noble-Val;1996-01-01 01:00:00
82141;Pommevic;1998-01-01 01:00:00
82138;Perville;1998-01-01 01:00:00
82134;Nègrepelisse;1996-01-01 01:00:00
82132;Montricoux;1996-01-01 01:00:00
82102;Mansonville;1998-01-01 01:00:00
82101;Malause;1998-01-01 01:00:00
82089;Lamagistère;1998-01-01 01:00:00
82088;Laguépie;1996-01-01 01:00:00
82073;Goudourville;1998-01-01 01:00:00
82072;Golfech;1998-01-01 01:00:00
82065;Gasques;1998-01-01 01:00:00
76221;Drosay;2014-12-31 01:00:00
76021;Annouville-Vilmesnil;2004-12-31 01:00:00
76587;Sainte-Hélène-Bondeville;2003-12-31 01:00:00
82061;Féneyrols;1996-01-01 01:00:00
76232;Életot;2003-12-31 01:00:00
82054;Espalais;1998-01-01 01:00:00
82050;Dunes;1998-01-01 01:00:00
76050;Avremesnil;2008-12-31 01:00:00
76169;La Cerlangue;2012-12-31 01:00:00
76613;Saint-Martin-aux-Buneaux;2003-12-31 01:00:00
76062;Beaumont-le-Hareng;2023-12-31 01:00:00
82049;Donzac;1998-01-01 01:00:00
76723;Vassonville;2009-12-31 01:00:00
82041;Cazals;1996-01-01 01:00:00
76141;Bréauté;2010-12-31 01:00:00
82026;Bruniquel;1996-01-01 01:00:00
76720;Varengeville-sur-Mer;2018-12-31 01:00:00
82018;Bioule;1996-01-01 01:00:00
82010;Bardigues;1998-01-01 01:00:00
82008;Auvillar;1998-01-01 01:00:00
71475;Saint-Rémy;1999-01-01 01:00:00
71269;Lux;1999-01-01 01:00:00
71250;Laizé;1997-01-01 01:00:00
71150;Crêches-sur-Saône;1997-01-01 01:00:00
71118;Châtenoy-le-Royal;1999-01-01 01:00:00
71117;Châtenoy-en-Bresse;1999-01-01 01:00:00
71099;Charbonnières;1998-01-01 01:00:00
71084;Chânes;1997-01-01 01:00:00
71081;Champforgeuil;1999-01-01 01:00:00
71076;Chalon-sur-Saône;1997-01-01 01:00:00
70492;Soing-Cubry-Charentenay;1999-01-01 01:00:00
70489;Servance-Miellin;1998-01-01 01:00:00
70482;Scey-sur-Saône-et-Saint-Albin;1999-01-01 01:00:00
70474;Saint-Sulpice;1998-01-01 01:00:00
70455;Roye;1998-01-01 01:00:00
70438;Ray-sur-Saône;1999-01-01 01:00:00
70399;Ormoy;1999-01-01 01:00:00
70340;Membrey;1999-01-01 01:00:00
70291;Jonvelle;1999-01-01 01:00:00
70259;Froideterre;1999-01-01 01:00:00
70218;Esmoulins;1998-01-01 01:00:00
70138;Chassey-lès-Scey;1999-01-01 01:00:00
70127;Chantes;1999-01-01 01:00:00
70105;Bucey-lès-Traves;1999-01-01 01:00:00
70063;Belonchamp;1999-01-01 01:00:00
70058;Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur;1999-01-01 01:00:00
70046;Les Aynans;1998-01-01 01:00:00
70042;Autrey-le-Vay;1998-01-01 01:00:00
70018;Ancier;1998-01-01 01:00:00
70009;Aisey-et-Richecourt;1999-01-01 01:00:00
64301;Lagor;1999-01-01 01:00:00
60513;Précy-sur-Oise;1997-01-01 01:00:00
54549;Varangéville;1997-01-01 01:00:00
54547;Vandœuvre-lès-Nancy;1998-01-01 01:00:00
54542;Valleroy;1998-01-01 01:00:00
54526;Tomblaine;1998-01-01 01:00:00
54519;Thiaville-sur-Meurthe;1999-01-01 01:00:00
34255;Saint-Gély-du-Fesc;2020-01-01 01:00:00
54509;Sommerviller;1998-01-01 01:00:00
54498;Seichamps;1999-01-01 01:00:00
54483;Saint-Nicolas-de-Port;1997-01-01 01:00:00
54482;Saint-Max;1998-01-01 01:00:00
54462;Rosières-aux-Salines;1997-01-01 01:00:00
54459;Richardménil;1998-01-01 01:00:00
54432;Pont-Saint-Vincent;1998-01-01 01:00:00
54431;Pont-à-Mousson;1998-01-01 01:00:00
54427;Pierre-Percée;1999-01-01 01:00:00
54425;Piennes;1998-01-01 01:00:00
54397;Neuves-Maisons;1998-01-01 01:00:00
54391;Moutiers;1998-01-01 01:00:00
54382;Mont-Saint-Martin;1998-01-01 01:00:00
54371;Moineville;1998-01-01 01:00:00
54366;Messein;1999-01-01 01:00:00
54357;Maxéville;1998-01-01 01:00:00
54352;Maron;1998-01-01 01:00:00
54351;Marbache;1999-01-01 01:00:00
54339;Malzéville;1998-01-01 01:00:00
54338;Malleloy;1999-01-01 01:00:00
54332;Maidières;1998-01-01 01:00:00
54329;Lunéville;1998-01-01 01:00:00
54328;Ludres;1998-01-01 01:00:00
54323;Longwy;1998-01-01 01:00:00
54321;Longlaville;1998-01-01 01:00:00
54318;Liverdun;1997-01-01 01:00:00
54305;Lay-Saint-Christophe;1999-01-01 01:00:00
54300;Laneuveville-devant-Nancy;1997-01-01 01:00:00
54281;Jolivet;1999-01-01 01:00:00
54280;Jœuf;1998-01-01 01:00:00
54274;Jarville-la-Malgrange;1998-01-01 01:00:00
54254;Haucourt-Moulaine;1999-01-01 01:00:00
54253;Hatrize;1999-01-01 01:00:00
54250;Haraucourt;1998-01-01 01:00:00
54215;Frouard;1998-01-01 01:00:00
54206;Fraimbois;1999-01-01 01:00:00
54196;Flavigny-sur-Moselle;1998-01-01 01:00:00
54184;Essey-lès-Nancy;1999-01-01 01:00:00
54165;Dommartemont;1998-01-01 01:00:00
54159;Dombasle-sur-Meurthe;1997-01-01 01:00:00
54157;Dieulouard;1998-01-01 01:00:00
54150;Custines;1999-01-01 01:00:00
54149;Crusnes;1998-01-01 01:00:00
54125;Chenevières;1999-01-01 01:00:00
54123;Chavigny;1998-01-01 01:00:00
54116;Chanteheux;1999-01-01 01:00:00
54115;Champigneulles;1999-01-01 01:00:00
54111;Chaligny;1998-01-01 01:00:00
54110;Cerville;1998-01-01 01:00:00
54090;Bouxières-aux-Dames;1998-01-01 01:00:00
54072;Bezaumont;1999-01-01 01:00:00
54066;Bettainvillers;1998-01-01 01:00:00
54060;Belleville;1999-01-01 01:00:00
54045;Barbonville;1997-01-01 01:00:00
54039;Baccarat;1998-01-01 01:00:00
52295;Louvières;1997-01-01 01:00:00
52115;Chatenay-Mâcheron;1998-01-01 01:00:00
49361;Varennes-sur-Loire;1998-01-01 01:00:00
41295;Vineuil;1999-01-01 01:00:00
41260;Thoury;1999-01-01 01:00:00
41212;Saint-Gervais-la-Forêt;1998-01-01 01:00:00
27663;Le Troncq;2010-01-01 01:00:00
41192;Les Roches-l'Évêque;1998-01-01 01:00:00
41189;Rilly-sur-Loire;1998-01-01 01:00:00
41155;Muides-sur-Loire;1998-01-01 01:00:00
41113;Lavardin;1999-01-01 01:00:00
41095;Fréteval;1999-01-01 01:00:00
41069;Cour-sur-Loire;1999-01-01 01:00:00
41067;Cour-Cheverny;1999-01-01 01:00:00
41066;Courbouzon;1998-01-01 01:00:00
41045;Chaumont-sur-Loire;1998-01-01 01:00:00
41044;Châtres-sur-Cher;1999-01-01 01:00:00
41040;La Chapelle-Vendômoise;1999-01-01 01:00:00
41032;Chailles;1999-01-01 01:00:00
39526;Tavaux;1998-01-01 01:00:00
39189;Damparis;1998-01-01 01:00:00
39001;Abergement-la-Ronce;1998-01-01 01:00:00
30336;Vallabrègues;1998-01-01 01:00:00
26178;Menglon;1996-01-01 01:00:00
21337;Lamarche-sur-Saône;1998-01-01 01:00:00
11416;Villarzel-Cabardès;1999-01-01 01:00:00
11386;Talairan;1999-01-01 01:00:00
11363;Saint-Pierre-des-Champs;1999-01-01 01:00:00
11054;Les Brunels;1999-01-01 01:00:00
03309;Le Veurdre;1998-01-01 01:00:00
03298;Varennes-sur-Allier;1998-01-01 01:00:00
03290;Trévol;1998-01-01 01:00:00
03286;Toulon-sur-Allier;1997-01-01 01:00:00
03163;Mariol;1998-01-01 01:00:00
03160;Marcenat;1998-01-01 01:00:00
03073;Chemilly;1997-01-01 01:00:00
03065;Châtel-de-Neuvre;1998-01-01 01:00:00
03064;Château-sur-Allier;1997-01-01 01:00:00
03029;Billy;1998-01-01 01:00:00
03025;Bessay-sur-Allier;1998-01-01 01:00:00
03015;Bagneux;1998-01-01 01:00:00
03241;Saint-Léopardin-d'Augy;1998-01-01 01:00:00
03236;Saint-Germain-des-Fossés;1998-01-01 01:00:00
03190;Moulins;1998-01-01 01:00:00
03009;Aubigny;1998-01-01 01:00:00
54028;Auboué;1998-01-01 01:00:00
70561;Villersexel;1998-01-01 01:00:00
54430;Pompey;1998-01-01 01:00:00
03001;Abrest;1998-01-01 01:00:00
65003;Adervielle-Pouchergues;1999-01-01 01:00:00
41071;Crouy-sur-Cosson;1999-01-01 01:00:00
54578;Villers-lès-Nancy;1998-01-01 01:00:00
54304;Laxou;1998-01-01 01:00:00
54279;Jezainville;1999-01-01 01:00:00
95651;Vétheuil;1999-01-01 01:00:00
95480;Parmain;1999-01-01 01:00:00
95369;Margency;1999-01-01 01:00:00
41028;Busloup;1999-01-01 01:00:00
41017;Binas;1999-01-01 01:00:00
41008;Avaray;1998-01-01 01:00:00
34276;Saint-Mathieu-de-Tréviers;2020-01-01 01:00:00
03094;Creuzier-le-Vieux;1998-01-01 01:00:00
27181;Courdemanche;2010-01-01 01:00:00
30141;Laudun-l'Ardoise;1998-01-01 01:00:00
71513;Senozan;1997-01-01 01:00:00
71372;Romanèche-Thorins;1997-01-01 01:00:00
71481;Saint-Symphorien-d'Ancelles;1997-01-01 01:00:00
71090;La Chapelle-de-Guinchay;1998-01-01 01:00:00
52547;Vouécourt;1996-01-01 01:00:00
52512;Vecqueville;1997-01-01 01:00:00
70024;Apremont;1998-01-01 01:00:00
52490;Thonnance-lès-Joinville;1998-01-01 01:00:00
52442;Rupt;1998-01-01 01:00:00
52432;Rolampont;1997-01-01 01:00:00
94052;Nogent-sur-Marne;1999-01-01 01:00:00
94046;Maisons-Alfort;1997-01-01 01:00:00
52411;Rives Dervoises;1997-01-01 01:00:00
41058;Concriers;1999-01-01 01:00:00
52374;Le Pailly;1997-01-01 01:00:00
67135;Ettendorf;2011-01-01 01:00:00
73320;Villargondran;2010-01-01 01:00:00
54027;Atton;1999-01-01 01:00:00
94018;Charenton-le-Pont;1997-01-01 01:00:00
94017;Champigny-sur-Marne;1998-01-01 01:00:00
94011;Bonneuil-sur-Marne;1998-01-01 01:00:00
94003;Arcueil;1998-01-01 01:00:00
52332;Val-de-Meuse;1997-01-01 01:00:00
52320;Merrey;1997-01-01 01:00:00
03258;Saint-Rémy-en-Rollat;1998-01-01 01:00:00
03242;Saint-Loup;1998-01-01 01:00:00
03204;Paray-sous-Briailles;1998-01-01 01:00:00
52235;Hallignicourt;1996-01-01 01:00:00
95504;Presles;1999-01-01 01:00:00
52182;Éclaron-Braucourt-Sainte-Livière;1996-01-01 01:00:00
03083;Contigny;1998-01-01 01:00:00
03040;Bressolles;1998-01-01 01:00:00
52093;Chalindrey;1997-01-01 01:00:00
71497;Sancé;1997-01-01 01:00:00
03176;Monétay-sur-Allier;1998-01-01 01:00:00
71105;Charnay-lès-Mâcon;1997-01-01 01:00:00
71445;Saint-Marcel;1999-01-01 01:00:00
95585;Sarcelles;1999-01-01 01:00:00
70491;Seveux-Motey;1999-01-01 01:00:00
26086;Châtillon-en-Diois;1996-01-01 01:00:00
28359;Saint-Rémy-sur-Avre;1999-01-01 01:00:00
67362;Orschwiller;2015-01-01 01:00:00
46263;Barguelonne-en-Quercy;2015-01-01 01:00:00
67336;Nordhouse;2015-01-01 01:00:00
40272;Saint-Martin-de-Hinx;2011-01-01 01:00:00
30005;Aiguèze;2010-01-01 01:00:00
67133;Eschbourg;2011-01-01 01:00:00
79014;Loretz-d'Argenton;2011-01-01 01:00:00
27329;Hennezis;2010-01-01 01:00:00
26142;Glandage;2000-01-01 01:00:00
26143;Le Grand-Serre;2000-01-01 01:00:00
26149;Hostun;2000-01-01 01:00:00
26171;Manas;2000-01-01 01:00:00
26174;Margès;2000-01-01 01:00:00
26196;Montéléger;2000-01-01 01:00:00
26218;Mours-Saint-Eusèbe;2000-01-01 01:00:00
26235;Pierrelatte;2000-01-01 01:00:00
26271;La Roche-de-Glun;2000-01-01 01:00:00
26292;Saint-Auban-sur-l'Ouvèze;2000-01-01 01:00:00
26314;Saint-Martin-d'Août;2000-01-01 01:00:00
26326;Saint-Restitut;2000-01-01 01:00:00
26328;Saint-Sauveur-en-Diois;2000-01-01 01:00:00
26331;Saint-Thomas-en-Royans;2000-01-01 01:00:00
26343;Souspierre;2000-01-01 01:00:00
26347;Tain-l'Hermitage;2000-01-01 01:00:00
26349;Tersanne;2000-01-01 01:00:00
26379;Granges-les-Beaumont;2000-01-01 01:00:00
28088;Châteaudun;2000-01-01 01:00:00
28220;Luisant;2000-01-01 01:00:00
03016;Barberier;2000-01-01 01:00:00
03021;Bègues;2000-01-01 01:00:00
03043;Broût-Vernet;2000-01-01 01:00:00
03107;Ébreuil;2000-01-01 01:00:00
03111;Estivareilles;2000-01-01 01:00:00
03143;Lételon;2000-01-01 01:00:00
