CODE MODELE;LIBELLE MODELE;CODE PROECEDURE;LIBELLE PROCEDURE;LIBELLE ORGANISME;BASSIN RISQUE;BASSINS HYDROGRAPHIQUES;COURS EAU;CODE INSEE REGION;NOM REGION;CODE INSEE DEPARTEMENT;NOM DEPARTEMENT;CODE INSEE COMMUNE;NOM COMMUNE;CODE RISQUE 1;LIBELLE RISQUE 1;CODE RISQUE 2;LIBELLE RISQUE 2;CODE RISQUE 2;LIBELLE RISQUE 3;PROCEDURE REVISANTE;CODES REVISES;PROCEDURE REVISEE;CODES REVISANTS;PRESCRIPTION;ENQUETE_PUBL_DEBUT;ENQUETE_PUBL_FIN;ANNEX_PLU;DEPRESCRIPTION;APPROBATION;ANNULATION;ABROGATION;LIBELLE ETAT;DATE ETAT;LIBELLE SOUS-ETAT;DATE SOUS-ETAT;DATE DERNIERE MISE A JOUR
PPRM;Plan de Prévention des Risques Miniers;42DDT20130002;PPRM DE LA VALLEE DU GIER;Direction départementale des territoires;GIER;;;84;AUVERGNE-RHONE-ALPES;42;LOIRE;42053;Châteauneuf;30;Risque minier;34;Echauffement des terrains de dépôts;;;FAUX;;FAUX;;2014-10-15;2018-12-10;2019-01-25;;;2019-03-29;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-01-21
PPRM;Plan de Prévention des Risques Miniers;12DDT20120002;PPRM du bassin de Decazeville;Direction départementale des territoires;;;;76;OCCITANIE;12;AVEYRON;12016;Auzits;30;Risque minier;31;Affaissement minier;317;Ecroulements rocheux;FAUX;;FAUX;;2012-12-21;;;;;2017-06-19;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-07
PPRM;Plan de Prévention des Risques Miniers;59DDTM20140005;PPRM couronne de Valenciennes;Direction départementale des territoires et de la mer;;;;32;HAUTS-DE-FRANCE;59;NORD;59564;La Sentinelle;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;FAUX;;2014-11-17;;;;;2018-07-06;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-26
PPRM;Plan de Prévention des Risques Miniers;57DDT20140009;PPRM-Bassin Sud révision 2;Direction départementale des territoires;Bassin ferrifère;;;44;GRAND EST;57;MOSELLE;57481;Montois-la-Montagne;30;Risque minier;31;Affaissement minier;313;Affaissements progressifs;VRAI;57DDT20100005;FAUX;;2014-07-29;;;;;2016-03-08;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-01-09
PPRM;Plan de Prévention des Risques Miniers;62DDTM20150002;PPRm du LENSOIS;Direction départementale des territoires et de la mer;Lensois;;;32;HAUTS-DE-FRANCE;62;PAS-DE-CALAIS;62427;Hénin-Beaumont;30;Risque minier;33;Emissions en surface de gaz de mine;;;FAUX;;FAUX;;2015-06-10;;;;;2017-11-17;;;Opposable;2020-01-01;Approuvé;2020-01-01;2022-03-04
PPRM;Plan de Prévention des Risques Miniers;54DDT20140038;PPRM Secteur de Longwy;Direction départementale des territoires;;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54314;Lexy;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;FAUX;;2008-01-10;;;;;2012-01-24;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-27
PPRM;Plan de Prévention des Risques Miniers;54DDT20140032;PPRM Secteur de Trieux - Tucqueg;Direction départementale des territoires;;;;44;GRAND EST;54;MEURTHE-ET-MOSELLE;54536;Tucquegnieux;30;Risque minier;31;Affaissement minier;312;Effondrements localisés;FAUX;;FAUX;;2004-11-19;;;;;2010-01-08;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-02-27
PPRM;Plan de Prévention des Risques Miniers;07DDT20160003;LARGENTIERE PPR Minier;Direction départementale des territoires;Largentière ;;;84;AUVERGNE-RHONE-ALPES;07;ARDECHE;07058;Chassiers;30;Risque minier;31;Affaissement minier;311;Effondrements généralisés;FAUX;;FAUX;;2006-01-13;2010-10-04;2010-11-05;;;2011-07-27;;2015-04-17;Caduque;2020-01-01;Abrogé;2020-01-01;2025-02-18
PPRM;Plan de Prévention des Risques Miniers;81DDT20150001;PPR minier Bassin de Carmaux;Direction départementale des territoires;;;;76;OCCITANIE;81;TARN;81033;Blaye-les-Mines;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;FAUX;;2008-10-15;2010-09-06;2010-10-08;;;2012-07-09;2015-12-30;;Caduque;2020-01-01;Annulé;2020-01-01;2016-02-25
PPRM;Plan de Prévention des Risques Miniers;62DDTM20150001;PPRm du BETHUNOIS;Direction départementale des territoires et de la mer;Béthunois;;;32;HAUTS-DE-FRANCE;62;PAS-DE-CALAIS;62178;Bruay-la-Buissière;30;Risque minier;31;Affaissement minier;314;Tassements;FAUX;;FAUX;;2015-06-10;;;;;2017-11-17;;;Opposable;2020-01-01;Approuvé;2020-01-01;2021-02-24
