CODE MODELE;LIBELLE MODELE;CODE PROECEDURE;LIBELLE PROCEDURE;LIBELLE ORGANISME;BASSIN RISQUE;BASSINS HYDROGRAPHIQUES;COURS EAU;CODE INSEE REGION;NOM REGION;CODE INSEE DEPARTEMENT;NOM DEPARTEMENT;CODE INSEE COMMUNE;NOM COMMUNE;CODE RISQUE 1;LIBELLE RISQUE 1;CODE RISQUE 2;LIBELLE RISQUE 2;CODE RISQUE 2;LIBELLE RISQUE 3;PROCEDURE REVISANTE;CODES REVISES;PROCEDURE REVISEE;CODES REVISANTS;PROGRAMMATION_DEBUT;PROGRAMMATION_FIN;MONTAGE_DEBUT;MONTAGE_FIN;PRESCRIPTION;ETUDES_HYDR_DEBUT;ETUDES_HYDR_FIN;CARTE_ALEAS_DEBUT;CARTE_ALEAS_FIN;CARTE_ENJEUX_DEBUT;CARTE_ENJEUX_FIN;ZONAGE_REGL_DEBUT;ZONAGE_REGL_FIN;REG_ET_NOTE_PRES_DEBUT;REG_ET_NOTE_PRES_FIN;CONCERTATION_DEBUT;CONCERTATION_FIN;CONSULTATION_DEBUT;CONSULTATION_FIN;CONSULT_SERV_DEBUT;CONSULT_SERV_FIN;ENQUETE_PUBL_DEBUT;ENQUETE_PUBL_FIN;ANNEX_PLU;PROROGATION;APPLIC_ANTIC;DEPRESCRIPTION;APPROBATION;ANNULATION;ABROGATION;LIBELLE ETAT;DATE ETAT;LIBELLE SOUS-ETAT;DATE SOUS-ETAT;DATE DERNIERE MISE A JOUR
PPRN-Multi;Plan de Prévention des Risques Naturels Multi-risques;01DDT20210001;PPRN inondation Rhône-Séran et chute de blocs CulozBéon;Direction départementale des territoires;Rhône - Grand Colombier;Le Rhône et les cours d'eau côtiers méditerranéens;le Séran;84;AUVERGNE-RHONE-ALPES;01;AIN;01039;Béon;10;Risque naturel;12;Mouvement de terrain;123;Eboulement ou chutes de pierres et de blocs;VRAI;69SNRS20050001 | 01DDT20090003;FAUX;;;;;;2021-07-29;;;2021-07-29;;2021-07-29;;2024-12-12;;;;;;;;;;2024-09-16;2024-10-19;;2024-02-09;;;2024-12-12;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-01-14
PPRN-Multi;Plan de Prévention des Risques Naturels Multi-risques;04DDT20060004;PPRN-Multi - Château-Arnoux-Saint-Auban 2013 [ MOD 1 - 2016, MOD 2 - 2022 ];Direction départementale des territoires;Durance;;la Durance;93;PROVENCE-ALPES-COTE D'AZUR;04;ALPES-DE-HAUTE-PROVENCE;04049;Château-Arnoux-Saint-Auban;10;Risque naturel;13;Séisme;;;FAUX;;FAUX;;;;;;2004-06-07;;;2016-08-30;2016-08-30;;;2004-06-07;2016-08-30;;;;;;;;;;;2014-01-08;;;;2013-11-06;;;Opposable;2020-01-01;Approuvé;2020-01-01;2022-09-09
PPRN-I;Plan de Prévention des Risques Naturels Inondation;02DDT20070018;PPR entre Charly et Villiers;Direction départementale des territoires;Marne;;;32;HAUTS-DE-FRANCE;02;AISNE;02242;Crouttes-sur-Marne;10;Risque naturel;11;Inondation;113;Par une crue torrentielle ou à montée rapide de cours d'eau;FAUX;;FAUX;;;;2001-01-26;2001-01-26;2004-12-06;;;;;;;2012-12-28;2012-12-28;;;;;;;;;;;;;;;2012-12-28;;;Opposable;2020-01-01;Approuvé;2020-01-01;2024-11-27
PPRN-IF;Plan de Prévention des Risques Naturels Incendie Feu de Forêt;06DREAL20190006;PPRN-IF - Théoule-sur-Mer 2022 Révision 1;Direction régionale de l'environnement, de l'aménagement et du logement;;;;93;PROVENCE-ALPES-COTE D'AZUR;06;ALPES-MARITIMES;06138;Théoule-sur-Mer;10;Risque naturel;16;Feu de forêt;;;VRAI;06DDTM20060008;FAUX;;;;;;2019-01-30;;;;;;;2022-04-27;2022-04-27;;;;;;;;;;;;;;;2022-04-27;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-03
PPRN-I;Plan de Prévention des Risques Naturels Inondation;01DDT19990006;PPRi _Misérieux;Direction départementale des territoires;Le Formans et le Morbier;;;84;AUVERGNE-RHONE-ALPES;01;AIN;01250;Misérieux;10;Risque naturel;11;Inondation;113;Par une crue torrentielle ou à montée rapide de cours d'eau;FAUX;;FAUX;;;;1999-03-19;1999-03-19;1999-03-19;;;2002-03-07;;2002-03-07;;2002-03-07;;;;;;;;;;1999-03-19;1999-03-19;;;;;2002-03-07;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-24
PPRN-Multi;Plan de Prévention des Risques Naturels Multi-risques;05DDT20100003;PPRN-Multi - Saint Firmin 2016;Direction départementale des territoires;;;;93;PROVENCE-ALPES-COTE D'AZUR;05;HAUTES-ALPES;05142;Saint-Firmin;10;Risque naturel;12;Mouvement de terrain;124;Glissement de terrain;FAUX;;FAUX;;;;;;2010-07-08;;;;;;;2016-11-28;2016-11-28;;;;;;;;;;;;;;;2016-11-28;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-26
PPRN-Multi;Plan de Prévention des Risques Naturels Multi-risques;01DDT19970009;PPR sur la commune Saint-Benoît;Direction départementale des territoires;Gland;Le Rhône et les cours d'eau côtiers méditerranéens;;84;AUVERGNE-RHONE-ALPES;01;AIN;01338;Groslée-Saint-Benoit;10;Risque naturel;11;Inondation;113;Par une crue torrentielle ou à montée rapide de cours d'eau;FAUX;;VRAI;01DDT20200017;;;1997-09-17;1997-09-17;1997-09-17;;;;;;;;;;;;;;;;;1997-10-21;1997-10-21;;;;;1998-01-30;;2024-05-28;Caduque;2020-01-01;Abrogé;2020-01-01;2024-06-03
PPRN-Mvt;Plan de Prévention des Risques Naturels Mouvement de terrain;06DDTM20030009;PPRN-Mvt - Tourette-Levens 2014;Direction départementale des territoires et de la mer;;;;93;PROVENCE-ALPES-COTE D'AZUR;06;ALPES-MARITIMES;06147;Tourrette-Levens;10;Risque naturel;12;Mouvement de terrain;121;Affaissements et effondrements d'origine anthropique (anciennes carrières souterraines, hors mines);FAUX;;FAUX;;;;;;2003-08-21;;;;;;;2014-10-01;2014-10-01;;;;;;;;;;;;;;;2014-10-01;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-04
PPRN-I;Plan de Prévention des Risques Naturels Inondation;02DDT20070006;PPR - Débordement de la Marne;Direction départementale des territoires;Marne;;;32;HAUTS-DE-FRANCE;02;AISNE;02484;Mézy-Moulins;10;Risque naturel;11;Inondation;112;Par une crue à débordement lent de cours d'eau;FAUX;;FAUX;;;;2001-01-26;2001-01-26;2004-12-06;;;;;;;2007-11-16;;;;;;2005-09-19;2005-11-19;;;2007-06-25;2007-08-14;;;;;2007-11-16;;;Opposable;2020-01-01;Approuvé;2020-01-01;2024-12-02
PPRN-I;Plan de Prévention des Risques Naturels Inondation;01DDT19970008;PPR - Saint-Bénigne;Direction départementale des territoires;Saône;;;84;AUVERGNE-RHONE-ALPES;01;AIN;01337;Saint-Bénigne;10;Risque naturel;11;Inondation;112;Par une crue à débordement lent de cours d'eau;FAUX;;VRAI;01DDT20120022;;;;;1997-06-24;;;;;;;;;;;;;;;;;1997-11-19;1997-11-19;;;;;1998-01-23;;2015-03-25;Caduque;2020-01-01;Abrogé;2020-01-01;2023-03-07
