CODE MODELE;LIBELLE MODELE;CODE PROECEDURE;LIBELLE PROCEDURE;LIBELLE ORGANISME;BASSIN RISQUE;BASSINS HYDROGRAPHIQUES;COURS EAU;CODE INSEE REGION;NOM REGION;CODE INSEE DEPARTEMENT;NOM DEPARTEMENT;CODE INSEE COMMUNE;NOM COMMUNE;CODE RISQUE 1;LIBELLE RISQUE 1;CODE RISQUE 2;LIBELLE RISQUE 2;CODE RISQUE 2;LIBELLE RISQUE 3;PROCEDURE REVISANTE;CODES REVISES;PROCEDURE REVISEE;CODES REVISANTS;PRESCRIPTION;ENQUETE_PUBL_DEBUT;ENQUETE_PUBL_FIN;ANNEX_PLU;DEPRESCRIPTION;APPROBATION;ANNULATION;ABROGATION;LIBELLE ETAT;DATE ETAT;LIBELLE SOUS-ETAT;DATE SOUS-ETAT;DATE DERNIERE MISE A JOUR
PPRT;Plan de Prévention des Risques Technologiques;83DREAL20140146;PPRT - Site militaire [ Tourris ] 2014;Direction régionale de l'environnement, de l'aménagement et du logement;;;;93;PROVENCE-ALPES-COTE D'AZUR;83;VAR;83132;Solliès-Ville;20;Risque technologique;21;Risque industriel;214;Effet de projection;FAUX;;FAUX;;2012-03-22;;;;;2014-03-06;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-15
PPRT;Plan de Prévention des Risques Technologiques;26DDT20100008;PPRT - DPPV;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;26;DROME;26252;Portes-lès-Valence;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2011-05-12;2013-01-04;2013-02-04;;;2013-06-12;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;13DREAL20140011;PPRT - CDH [ Rognac ] 2016;Direction régionale de l'environnement, de l'aménagement et du logement;;;;93;PROVENCE-ALPES-COTE D'AZUR;13;BOUCHES-DU-RHONE;13081;Rognac;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-11-10;;;;;;;;Prescrit;2020-01-01;Prescrit;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;60DREAL20140002;WEYLCHEM LAMOTTE;Direction régionale de l'environnement, de l'aménagement et du logement;;;;32;HAUTS-DE-FRANCE;60;OISE;60647;Trosly-Breuil;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2010-10-12;2014-09-30;2014-11-05;;;2014-12-19;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-27
PPRT;Plan de Prévention des Risques Technologiques;18DREAL20140002;BUTAGAZ (Aubigny/Nère);Direction régionale de l'environnement, de l'aménagement et du logement;;;;24;CENTRE-VAL DE LOIRE;18;CHER;18015;Aubigny-sur-Nère;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2009-06-25;2013-01-08;2013-02-08;;;2014-04-01;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-02
PPRT;Plan de Prévention des Risques Technologiques;59DDTM20130009;PPRT TOTAL Raffinage Marketing;Direction départementale des territoires et de la mer;;;;32;HAUTS-DE-FRANCE;59;NORD;59273;Gravelines;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2009-06-10;2012-10-05;2012-11-05;2015-12-07;;2013-02-21;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-10
PPRT;Plan de Prévention des Risques Technologiques;41DREAL20140001;STORENGY (Céré-la-Ronde);Direction régionale de l'environnement, de l'aménagement et du logement;;;;24;CENTRE-VAL DE LOIRE;37;INDRE-ET-LOIRE;41217;Saint-Julien-de-Chédon;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2012-08-06;2013-09-30;2013-10-31;;;2013-12-24;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-16
PPRT;Plan de Prévention des Risques Technologiques;44DREAL20090008;PPRT PLANETE ARTIFICES - Chaill;Direction régionale de l'environnement, de l'aménagement et du logement;PPRT PLANETE ARTIFICES - Chaill sous les Ormeaux - 85;;;52;PAYS DE LA LOIRE;85;VENDEE;85050;Le Champ-Saint-Père;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2007-07-19;;;;;2010-08-10;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-28
PPRT;Plan de Prévention des Risques Technologiques;68DREAL20140001;68 PPRT PPC CRISTAL;Direction régionale de l'environnement, de l'aménagement et du logement;68 PPRT PPC CRISTAL;;;44;GRAND EST;68;HAUT-RHIN;68334;Thann;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2010-12-31;2014-01-13;2014-02-14;;;2014-05-16;;;Opposable;2020-01-01;Approuvé;2020-01-01;2012-01-23
PPRT;Plan de Prévention des Risques Technologiques;51DREAL20090010;PPRT HUNTSMAN;Direction régionale de l'environnement, de l'aménagement et du logement;PPRT HUNTSMAN;;;44;GRAND EST;55;MEUSE;55229;Han-sur-Meuse;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2008-12-10;;;;;2011-03-28;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-10
