cod_commune;lib_commune;lib_risque;num_risque
01001;L'Abergement-Clémenciat;Inondation;11
01001;L'Abergement-Clémenciat;Par une crue à débordement lent de cours d'eau;112
01001;L'Abergement-Clémenciat;Séisme;13
01001;L'Abergement-Clémenciat;Transport de marchandises dangereuses;24
01002;L'Abergement-de-Varey;Mouvement de terrain;12
01002;L'Abergement-de-Varey;Glissement de terrain;124
01002;L'Abergement-de-Varey;Séisme;13
01004;Ambérieu-en-Bugey;Inondation;11
01004;Ambérieu-en-Bugey;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01004;Ambérieu-en-Bugey;Mouvement de terrain;12
01004;Ambérieu-en-Bugey;Glissement de terrain;124
01004;Ambérieu-en-Bugey;Séisme;13
01005;Ambérieux-en-Dombes;Séisme;13
01005;Ambérieux-en-Dombes;Transport de marchandises dangereuses;24
01006;Ambléon;Séisme;13
01007;Ambronay;Inondation;11
01007;Ambronay;Par une crue à débordement lent de cours d'eau;112
01007;Ambronay;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01007;Ambronay;Séisme;13
01007;Ambronay;Rupture de barrage;23
01008;Ambutrix;Séisme;13
01008;Ambutrix;Transport de marchandises dangereuses;24
01009;Andert-et-Condon;Inondation;11
01009;Andert-et-Condon;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01009;Andert-et-Condon;Séisme;13
01010;Anglefort;Inondation;11
01010;Anglefort;Par une crue à débordement lent de cours d'eau;112
01010;Anglefort;Séisme;13
01010;Anglefort;Rupture de barrage;23
01011;Apremont;Mouvement de terrain;12
01011;Apremont;Eboulement ou chutes de pierres et de blocs;123
01011;Apremont;Glissement de terrain;124
01011;Apremont;Séisme;13
01011;Apremont;Transport de marchandises dangereuses;24
01012;Aranc;Séisme;13
01013;Arandas;Séisme;13
01014;Arbent;Inondation;11
01014;Arbent;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01014;Arbent;Mouvement de terrain;12
01014;Arbent;Eboulement ou chutes de pierres et de blocs;123
01014;Arbent;Séisme;13
01014;Arbent;Transport de marchandises dangereuses;24
01015;Arboys en Bugey;Inondation;11
01015;Arboys en Bugey;Par une crue torrentielle ou à montée rapide de cours d'eau;113
01015;Arboys en Bugey;Séisme;13
01016;Arbigny;Inondation;11
01016;Arbigny;Par une crue à débordement lent de cours d'eau;112
01016;Arbigny;Séisme;13
