cod_commune;lib_commune;dat_transmission_tim
66003;Amélie-les-Bains-Palalda;2024-06-06 02:00:00
88006;Ambacourt;2025-01-22 01:00:00
88292;Mattaincourt;2024-08-22 02:00:00
88082;Celles-sur-Plaine;2025-01-22 01:00:00
88295;Mazirot;2024-08-22 02:00:00
88489;Valleroy-aux-Saules;2025-01-22 01:00:00
88497;Vaxoncourt;2025-01-23 01:00:00
88304;Mirecourt;2025-01-23 01:00:00
88438;La Salle;2025-01-23 01:00:00
88246;Hymont;2024-08-22 02:00:00
88192;Gelvécourt-et-Adompt;2024-10-09 02:00:00
88357;Poussay;2025-01-22 01:00:00
53133;Lignières-Orgères;2024-09-30 02:00:00
53266;Trans;2024-09-30 02:00:00
53105;Gesnes;2024-09-30 02:00:00
53248;Saint-Pierre-sur-Erve;2024-09-30 02:00:00
53121;Javron-les-Chapelles;2024-09-30 02:00:00
53019;Bannes;2024-09-30 02:00:00
53048;Chailland;2024-09-30 02:00:00
53272;Villepail;2024-09-30 02:00:00
53074;Contest;2024-09-30 02:00:00
53237;Saint-Mars-sur-Colmont;2024-09-30 02:00:00
53023;La Bazouge-des-Alleux;2024-09-30 02:00:00
53224;Saint-Germain-le-Fouilloux;2024-09-30 02:00:00
53204;Saint-Calais-du-Désert;2024-09-30 02:00:00
53198;Saint-Aubin-du-Désert;2024-09-30 02:00:00
53221;Saint-Georges-sur-Erve;2024-09-30 02:00:00
53017;Val-du-Maine;2024-09-30 02:00:00
53039;Le Bourgneuf-la-Forêt;2024-09-30 02:00:00
53233;Saint-Loup-du-Dorat;2024-09-30 02:00:00
53243;Saint-Ouën-des-Toits;2024-09-30 02:00:00
53180;Pommerieux;2024-09-30 02:00:00
53264;Thorigné-en-Charnie;2024-09-30 02:00:00
53036;Bouère;2024-09-30 02:00:00
53011;Astillé;2024-09-30 02:00:00
53263;Thubœuf;2024-09-30 02:00:00
53066;Chemazé;2024-09-30 02:00:00
05157;Saint-Véran;2000-05-16 02:00:00
54364;Méréville;2001-01-24 01:00:00
77014;Avon;2000-07-20 02:00:00
38308;Plan;2001-06-22 02:00:00
62588;Montreuil-sur-Mer;2000-12-26 01:00:00
68165;Kiffis;2000-01-17 01:00:00
68277;Riquewihr;2000-01-17 01:00:00
54322;Longuyon;2001-11-15 01:00:00
93001;Aubervilliers;2000-07-18 02:00:00
17375;Saint-Nazaire-sur-Charente;2001-02-14 01:00:00
33533;Toulenne;2001-02-07 01:00:00
57004;Achain;2000-06-05 02:00:00
05115;Remollon;2001-12-06 01:00:00
89189;Gisy-les-Nobles;2000-01-07 01:00:00
05093;Névache;2001-05-16 02:00:00
19085;Gimel-les-Cascades;2001-02-23 01:00:00
38087;Chasse-sur-Rhône;2000-07-10 02:00:00
42153;Neaux;2001-05-29 02:00:00
51217;Dormans;2000-07-12 02:00:00
77152;Dammarie-les-Lys;2000-07-20 02:00:00
57748;Wittring;2001-06-05 02:00:00
63063;Cébazat;2001-12-18 01:00:00
13027;Châteaurenard;2000-10-16 02:00:00
68247;Oderen;2001-04-09 02:00:00
05019;La Beaume;2000-12-11 01:00:00
18050;La Chapelle-Saint-Ursin;2000-07-13 02:00:00
68215;Montreux-Vieux;2000-01-17 01:00:00
17160;Floirac;2000-11-13 01:00:00
17168;Fouras;2001-02-14 01:00:00
68030;Bergholtzzell;2000-01-17 01:00:00
